Justin Forsett,BAL,RB,3000000
Ryan Mathews,PHI,RB,3000000
Jamaal Charles,KC,RB,2750000
Dexter McCluster,TEN,RB,2275000
Rashad Jennings,NYG,RB,2230000
DeAngelo Williams,PIT,RB,2000000
Danny Woodhead,SD,RB,2000000
Chris Ivory,JAX,RB,2000000
Ronnie Hillman,DEN,RB,1800000
CJ Spiller,NO,RB,1700000
Andre Ellington,ARI,RB,1671000
Darren McFadden,DAL,RB,1250000
Taiwan Jones,OAK,RB,1100000
James Starks,GB,RB,1100000
Giovani Bernard,CIN,RB,1071364
Todd Gurley,LA,RB,1063326
Frank Gore,IND,RB,1000000
Reggie Bush,BUF,RB,1000000
Lamar Miller,HOU,RB,1000000
Matt Forte,NYJ,RB,1000000
Le'Veon Bell,PIT,RB,966900
Melvin Gordon,SD,RB,919990
Cedric Peerman,CIN,RB,885000
Chris Johnson,ARI,RB,885000
Arian Foster,MIA,RB,885000
Eddie Lacy,GB,RB,867602
Bilal Powell,NYJ,RB,850000
Dion Lewis,NE,RB,800000
Alfred Morris,DAL,RB,800000
Lance Dunbar,DAL,RB,800000
Chase Reynolds,LA,RB,775000
Bishop Sankey,TEN,RB,769391
Mark Ingram,NO,RB,765000
Travaris Cadet,NO,RB,760000
Shaun Draughn,SF,RB,760000
Robert Turbin,IND,RB,760000
Jordan Todman,IND,RB,760000
Brandon Bolden,NE,RB,760000
Bobby Rainey,NYG,RB,760000
Matt Asiata,MIN,RB,760000
DuJuan Harris,SF,RB,760000
Dan Herron,BUF,RB,760000
Jacquizz Rodgers,CHI,RB,760000
Tim Hightower,NO,RB,760000
LeGarrette Blount,NE,RB,760000
Antone Smith,NYJ,RB,760000
Jeremy Hill,CIN,RB,711237
TJ Yeldon,JAX,RB,703809
Cyrus Gray,ATL,RB,675000
Isaiah Pead,MIA,RB,675000
Fozzy Whittaker,CAR,RB,675000
CJ Anderson,DEN,RB,675000
Stepfan Taylor,ARI,RB,675000
Theo Riddick,DET,RB,675000
Latavius Murray,OAK,RB,675000
Khiry Robinson,NYJ,RB,675000
Joe Banyard,JAX,RB,675000
Christine Michael,SEA,RB,675000
Mike James,TB,RB,675000
Chris Thompson,WAS,RB,675000
Rex Burkhead,CIN,RB,675000
Denard Robinson,JAX,RB,675000
Knile Davis,KC,RB,675000
Carlos Hyde,SF,RB,654698
Charles Sims,TB,RB,650000
Tre Mason,LA,RB,641146
Jerick McKinnon,MIN,RB,610000
Ka'Deem Carey,CHI,RB,600000
Dri Archer,BUF,RB,600000
Andre Williams,NYG,RB,600000
Devonta Freeman,ATL,RB,600000
Terrance West,BAL,RB,600000
Lorenzo Taliaferro,BAL,RB,600000
Orleans Darkwa,NYG,RB,600000
Spencer Ware,KC,RB,600000
Alfred Blue,HOU,RB,600000
James White,NE,RB,600000
Branden Oliver,SD,RB,600000
Isaiah Crowell,CLE,RB,600000
Glenn Winston,CLE,RB,600000
Kerwynn Williams,ARI,RB,600000
George Winn,DET,RB,600000
Mike Gillislee,BUF,RB,600000
Charcandrick West,KC,RB,600000
Antonio Andrews,TEN,RB,600000
Daryl Richardson,PIT,RB,600000
Kenjon Barner,PHI,RB,600000
Juwan Thompson,DEN,RB,600000
Damien Williams,MIA,RB,600000
Ameer Abdullah,DET,RB,573915
Tevin Coleman,ATL,RB,567500
Duke Johnson,CLE,RB,545000
Matt Jones,WAS,RB,539000
Rajion Neal,CLE,RB,525000
John Crockett,GB,RB,525000
Thomas Rawls,SEA,RB,525000
Storm Johnson,TB,RB,525000
Brandon Wegher,CAR,RB,525000
David Johnson,ARI,RB,525000
Terron Ward,ATL,RB,525000
Silas Redd,WAS,RB,525000
Lache Seastrunk,NYJ,RB,525000
Terrence Magee,LA,RB,525000
Zach Zenner,DET,RB,525000
Mike Davis,SF,RB,525000
Darrin Reaves,KC,RB,525000
Senorise Perry,CHI,RB,525000
Trey Williams,IND,RB,525000
Javorius Allen,BAL,RB,525000
George Atkinson,OAK,RB,525000
Jay Ajayi,MIA,RB,525000
Jeremy Langford,CHI,RB,525000
Marcus Murphy,NO,RB,525000
Cameron Artis-Payne,CAR,RB,525000
David Cobb,TEN,RB,525000
Akeem Hunt,HOU,RB,525000
Kapri Bibbs,DEN,RB,525000
Rod Smith,DAL,RB,525000
Keith Marshall,WAS,RB,450000
Wendell Smallwood,PHI,RB,450000
Terrell Watson,CLE,RB,450000
Deandre Washington,OAK,RB,450000
Darius Jackson,DAL,RB,450000
Raheem Mostert,CLE,RB,450000
Malcolm Brown,LA,RB,450000
Josh Ferguson,IND,RB,450000
Gus Johnson,ATL,RB,450000
Jordan Howard,CHI,RB,450000
Alex Collins,SEA,RB,450000
Daniel Lasco,NO,RB,450000
Kenneth Dixon,BAL,RB,450000
Derrick Henry,TEN,RB,450000
Ezekiel Elliott,DAL,RB,450000
Dreamius Smith,SD,RB,450000
Tyler Ervin,HOU,RB,450000
Tyler Gaffney,NE,RB,450000
Kenny Hilliard,HOU,RB,450000
Jonathan Williams,BUF,RB,450000
CJ Prosise,SEA,RB,450000
Kenyan Drake,MIA,RB,450000
Devontae Booker,DEN,RB,450000
Paul Perkins,NYG,RB,450000
Kelvin Taylor,SF,RB,450000
Mack Brown,WAS,RB,450000
James Wilder,BUF,RB,450000
Dwayne Washington,DET,RB,450000
Malcolm Johnson,CLE,RB,0
Benjamin Cunningham,LA,RB,0
Kyle Juszczyk,BAL,RB,0
Kendall Gaskins,SF,RB,0
Fitzgerald Toussaint,PIT,RB,0
Patrick DiMarco,ATL,RB,0
Will Johnson,NYG,RB,0
Michael Burton,DET,RB,0
Ahmad Bradshaw,NA,RB,0
Jonas Gray,NA,RB,0
Dan Vitale,TB,RB,0
Aaron Ripkowski,GB,RB,0
Jalston Fowler,TEN,RB,0
Donald Brown,NA,RB,0
Karlos Williams,NA,RB,0
Zac Stacy,NA,RB,0
Tommy Bohanon,NYJ,RB,0
Jamize Olawale,OAK,RB,0
Bruce Miller,SF,RB,0
Stevan Ridley,NA,RB,0
Nikita Whitlock,NYG,RB,0
Marcel Reece,OAK,RB,0
Jonathan Grimes,HOU,RB,0
Jay Prosch,HOU,RB,0
Jerome Felton,BUF,RB,0
James Develin,NE,RB,0
Daniel Thomas,NA,RB,0
Roy Helu,NA,RB,0
Anthony Sherman,KC,RB,0
Jhurell Pressley,MIN,RB,0
Austin Johnson,NO,RB,0
Mike Tolbert,CAR,RB,0
Zach Line,MIN,RB,0
John Kuhn,NO,RB,0
Trent Richardson,NA,RB,0
Tyler Varga,NA,RB,0
Joey Iosefa,NE,RB,0
Bernard Pierce,NA,RB,0
Marshawn Lynch,NA,RB,0
Darrel Young,CHI,RB,0
Jimmy Graham,SEA,TE,8900000
Jason Witten,DAL,TE,6500000
Julius Thomas,JAX,TE,6000000
Jordan Cameron,MIA,TE,6000000
Kyle Rudolph,MIN,TE,5650000
Martellus Bennett,NE,TE,5085000
Marcedes Lewis,JAX,TE,4000000
Brandon Pettigrew,DET,TE,3650000
Lance Kendricks,LA,TE,3250000
Jermaine Gresham,ARI,TE,3000000
Antonio Gates,SD,TE,3000000
Delanie Walker,TEN,TE,2700000
Dwayne Allen,IND,TE,2500000
Lee Smith,OAK,TE,2500000
Virgil Green,DEN,TE,2400000
Rob Gronkowski,NE,TE,2250000
Anthony Fasano,TEN,TE,1975000
Jacob Tamme,ATL,TE,1900000
Ed Dickson,CAR,TE,1800000
Brandon Myers,TB,TE,1750000
Mychal Rivera,OAK,TE,1671000
Levine Toilolo,ATL,TE,1671000
Larry Donnell,NYG,TE,1671000
Jack Doyle,IND,TE,1671000
Luke Willson,SEA,TE,1671000
Dion Sims,MIA,TE,1671000
Luke Stocker,TB,TE,1600000
Charles Clay,BUF,TE,1500000
Zach Miller,CHI,TE,1500000
Gary Barnidge,CLE,TE,1500000
Jared Cook,GB,TE,1425000
Vernon Davis,WAS,TE,1350000
Jordan Reed,WAS,TE,1250000
Niles Paul,WAS,TE,1250000
Greg Olsen,CAR,TE,1250000
Ladarius Green,PIT,TE,1250000
Eric Ebron,DET,TE,1233558
Zach Ertz,PHI,TE,1138527
Garrett Celek,SF,TE,1000000
Dennis Pitta,BAL,TE,1000000
Benjamin Watson,BAL,TE,1000000
James Hanna,DAL,TE,1000000
Brent Celek,PHI,TE,1000000
Gavin Escobar,DAL,TE,979158
Clay Harbor,NE,TE,900000
Matthew Mulligan,DET,TE,885000
Kellen Davis,NYJ,TE,885000
Michael Hoomanawanui,NO,TE,850000
Austin Seferian-Jenkins,TB,TE,822721
Jace Amaro,NYJ,TE,810272
Derek Carrier,WAS,TE,800000
Coby Fleener,NO,TE,800000
Vance McDonald,SF,TE,795797
Troy Niklas,ARI,TE,785755
Tyler Eifert,CIN,TE,765409
Jeff Cumberland,SD,TE,760000
John Phillips,DEN,TE,760000
Rhett Ellison,MIN,TE,760000
Andrew Quarless,DET,TE,760000
David Johnson,PIT,TE,760000
Logan Paulsen,WAS,TE,760000
Garrett Graham,DEN,TE,760000
Tony Moeaki,CHI,TE,760000
Jim Dray,BUF,TE,760000
Chase Coffman,IND,TE,760000
Josh Hill,NO,TE,750000
CJ Fiedorowicz,HOU,TE,685000
Brandon Williams,SEA,TE,675000
Dominique Jones,MIA,TE,675000
Tim Wright,DET,TE,675000
Ryan Griffin,HOU,TE,675000
MarQueis Gray,MIA,TE,675000
Travis Kelce,KC,TE,675000
Chris Gragg,BUF,TE,675000
Maxx Williams,BAL,TE,619216
Richard Rodgers,GB,TE,602500
Nic Jacobs,JAX,TE,600000
Demetrius Harris,KC,TE,600000
Scott Simonson,CAR,TE,600000
Chris Pantale,PHI,TE,600000
Justice Cunningham,LA,TE,600000
Cameron Brate,TB,TE,600000
Zach Sudfeld,NYJ,TE,600000
Phillip Supernaw,TEN,TE,600000
Jake Stoneburner,LA,TE,600000
Crockett Gillmore,BAL,TE,600000
Brandon Bostick,NYJ,TE,600000
Darren Fells,ARI,TE,600000
Justin Perillo,GB,TE,600000
Clive Walford,OAK,TE,582500
Tyler Kroft,CIN,TE,540500
Blake Bell,SF,TE,525000
