Rk,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
1,Reggie Bush,MIA,RB,0,0,0,172,2,3,25,0,0,31.7
2,Robert Griffin III,WAS,QB,206,1,1,82,2,0,0,0,0,30.44
3,CJ Spiller,BUF,RB,0,0,0,123,2,3,47,0,0,29
4,Trent Richardson,CLE,RB,0,0,0,109,1,4,36,1,0,26.5
5,Eli Manning,NYG,QB,510,3,3,-2,0,0,0,0,0,26.2
6,Hakeem Nicks,NYG,WR,0,0,0,0,0,10,199,1,0,25.9
7,Cam Newton,CAR,QB,253,1,0,71,1,0,0,0,1,25.22
8,Willis McGahee,DEN,RB,0,0,0,113,2,2,11,0,0,24.4
9,Victor Cruz,NYG,WR,0,0,0,0,0,11,179,1,0,23.9
10,Sam Bradford,STL,QB,310,3,1,10,0,0,0,0,0,23.4
11,Andy Dalton,CIN,QB,318,3,1,4,0,0,0,0,0,23.12
12,Dante Rosario,SD,TE,0,0,0,0,0,4,48,3,0,22.8
13,Philip Rivers,SD,QB,284,3,1,9,0,0,0,0,0,22.26
14,Michael Vick,PHI,QB,371,1,2,34,1,0,0,0,1,22.24
15,Dwayne Bowe,KC,WR,0,0,0,0,0,8,102,2,0,22.2
16,Ben Tate,HOU,RB,0,0,0,74,2,4,23,0,0,21.7
17,Brandon Weeden,CLE,QB,322,2,0,6,0,0,0,0,0,21.48
18,Arian Foster,HOU,RB,0,0,0,110,1,6,37,0,0,20.7
19,Danny Amendola,STL,WR,0,0,0,0,0,15,160,1,1,20
20,Ryan Tannehill,MIA,QB,200,1,0,14,1,0,0,0,0,19.4
21,Vernon Davis,SF,TE,0,0,0,0,0,5,73,2,0,19.3
22,Andrew Luck,IND,QB,224,2,0,21,0,0,0,0,0,19.06
23,Ben Roethlisberger,PIT,QB,275,2,0,0,0,0,0,0,0,19
24,Drew Brees,NO,QB,325,1,2,0,1,0,0,0,0,19
25,Jackie Battle,SD,RB,0,0,0,69,2,0,0,0,0,18.9
26,Vincent Jackson,TB,WR,0,0,0,0,0,5,128,1,0,18.8
27,Matt Ryan,ATL,QB,219,2,0,19,0,0,0,0,0,18.66
28,Matt Cassel,KC,QB,301,2,1,25,0,0,0,0,1,18.54
29,Ryan Fitzpatrick,BUF,QB,178,2,0,34,0,0,0,0,0,18.52
30,Marshawn Lynch,SEA,RB,0,0,0,122,1,0,0,0,0,18.2
31,Alex Smith,SF,QB,226,2,0,7,0,0,0,0,0,17.74
32,Carson Palmer,OAK,QB,373,1,1,7,0,0,0,0,0,17.62
33,Andre Brown,NYG,RB,0,0,0,71,1,2,19,0,0,17
34,Frank Gore,SF,RB,0,0,0,89,1,2,16,0,0,16.5
