Rk,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
84,Pierre Garcon,WAS,WR,0,0,0,0,0,7,89,0,0,8.9
85,DuJuan Harris,GB,RB,0,0,0,29,1,0,0,0,0,8.9
86,Colt McCoy,CLE,QB,79,1,0,17,0,0,0,0,0,8.86
87,Josh Morgan,WAS,WR,0,0,0,7,0,2,21,1,0,8.8
88,Jimmy Graham,NO,TE,0,0,0,0,0,7,88,0,0,8.8
89,Jake Locker,TEN,QB,140,1,2,32,0,0,0,0,0,8.8
90,Stevan Ridley,NE,RB,0,0,0,84,0,0,0,0,0,8.4
91,Joique Bell,DET,RB,0,0,0,10,0,9,73,0,0,8.3
92,Jordan Shipley,JAX,WR,0,0,0,0,0,5,82,0,0,8.2
93,Dion Lewis,PHI,RB,0,0,0,17,1,0,0,0,0,7.7
94,David Wilson,NYG,RB,0,0,0,17,1,0,0,0,0,7.7
95,Dwayne Harris,DAL,WR,0,0,0,0,0,1,16,1,0,7.6
96,Lamar Miller,MIA,RB,0,0,0,73,0,0,0,0,0,7.3
97,Brad Smith,BUF,WR,0,0,0,1,0,2,11,1,0,7.2
98,Matt Schaub,HOU,QB,178,0,0,0,0,0,0,0,0,7.12
99,Andy Dalton,CIN,QB,278,0,2,0,0,0,0,0,0,7.12
100,DeMarco Murray,DAL,RB,0,0,0,40,0,4,51,0,1,7.1
101,Jason Avant,PHI,WR,0,0,0,0,0,8,70,0,0,7
102,Jermichael Finley,GB,TE,0,0,0,0,0,5,70,0,0,7
103,Jacob Tamme,DEN,TE,0,0,0,0,0,2,69,0,0,6.9
104,Vick Ballard,IND,RB,0,0,0,69,0,0,0,0,0,6.9
105,Trent Richardson,CLE,RB,0,0,0,53,0,3,15,0,0,6.8
106,Jacob Hester,DEN,FB,0,0,0,6,1,0,0,0,0,6.6
107,Anthony McCoy,SEA,TE,0,0,0,0,0,1,6,1,0,6.6
