Rk,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
1,Tom Brady,NE,QB,340,3,0,4,1,0,0,0,0,32
2,Brian Hartline,MIA,WR,0,0,0,0,0,12,253,1,0,31.3
3,Cam Newton,CAR,QB,215,2,0,86,1,0,0,0,0,31.2
4,Drew Brees,NO,QB,446,3,0,0,0,0,0,0,0,29.84
5,Roddy White,ATL,WR,0,0,0,0,0,8,169,2,0,28.9
6,Aaron Rodgers,GB,QB,319,4,1,13,0,0,0,0,0,28.06
7,Peyton Manning,DEN,QB,338,3,0,-1,0,0,0,0,0,25.42
8,Matt Ryan,ATL,QB,369,3,1,0,0,0,0,0,0,24.76
9,Andre Roberts,ARI,WR,0,0,0,0,0,6,118,2,0,23.8
10,Ryan Fitzpatrick,BUF,QB,350,4,4,14,0,0,0,0,0,23.4
11,Michael Turner,ATL,RB,0,0,0,103,0,3,68,1,0,23.1
12,Joe Flacco,BAL,QB,356,1,1,4,1,0,0,0,0,22.64
13,Stevan Ridley,NE,RB,0,0,0,106,2,0,0,0,0,22.6
14,Robert Griffin III,WAS,QB,323,0,0,36,1,0,0,0,0,22.52
15,Andy Dalton,CIN,QB,244,2,1,5,1,0,0,0,0,22.26
16,Marshawn Lynch,SEA,RB,0,0,0,118,1,4,37,0,0,21.5
17,Marques Colston,NO,WR,0,0,0,0,0,9,153,1,0,21.3
18,Kevin Kolb,ARI,QB,324,3,2,0,0,0,0,0,0,20.96
19,Brandon Bolden,NE,RB,0,0,0,137,1,1,11,0,0,20.8
20,Matthew Stafford,DET,QB,319,0,0,14,1,0,0,0,0,20.16
21,Jackie Battle,SD,RB,0,0,0,39,1,4,42,1,0,20.1
22,Brandon Marshall,CHI,WR,0,0,0,0,0,7,138,1,0,19.8
23,Willis McGahee,DEN,RB,0,0,0,112,1,6,23,0,0,19.5
24,Jamaal Charles,KC,RB,0,0,0,88,1,3,23,1,2,19.1
25,Michael Vick,PHI,QB,241,1,0,49,0,0,0,0,0,18.54
26,Eli Manning,NYG,QB,309,2,1,0,0,0,0,0,0,18.36
27,Scott Chandler,BUF,TE,0,0,0,0,0,4,62,2,0,18.2
28,AJ Green,CIN,WR,0,0,0,0,0,6,117,1,0,17.7
29,James Jones,GB,WR,0,0,0,0,0,5,56,2,0,17.6
30,Ryan Tannehill,MIA,QB,431,1,2,0,0,0,0,0,1,17.24
31,Jason Witten,DAL,TE,0,0,0,0,0,13,112,1,0,17.2
32,Jay Cutler,CHI,QB,275,2,0,0,0,0,0,0,1,17
33,Victor Cruz,NYG,WR,0,0,0,0,0,9,109,1,0,16.9
34,Alfred Morris,WAS,RB,0,0,0,113,1,1,-4,0,0,16.9
35,Dwayne Bowe,KC,WR,0,0,0,0,0,7,108,1,0,16.8
36,Trent Richardson,CLE,RB,0,0,0,47,1,4,57,0,0,16.4
37,Vincent Jackson,TB,WR,0,0,0,0,0,6,100,1,0,16
38,DeSean Jackson,PHI,WR,0,0,0,0,0,6,99,1,0,15.9
39,Matt Schaub,HOU,QB,202,2,0,-2,0,0,0,0,0,15.88
40,Chris Johnson,TEN,RB,0,0,0,141,0,2,16,0,0,15.7
41,Torrey Smith,BAL,WR,0,0,0,0,0,6,97,1,0,15.7
42,Arian Foster,HOU,RB,0,0,0,86,1,1,8,0,0,15.4
43,Jordy Nelson,GB,WR,0,0,0,0,0,8,93,1,0,15.3
44,Donald Jones,BUF,WR,0,0,0,0,0,2,90,1,0,15
45,Greg Olsen,CAR,TE,0,0,0,0,0,6,89,1,0,14.9
