Rk,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
1,Alfred Morris,WAS,RB,0,0,0,200,3,2,12,0,0,39.2
2,DeAngelo Williams,CAR,RB,0,0,0,210,2,1,3,0,0,33.3
3,Adrian Peterson,MIN,RB,0,0,0,199,1,1,2,1,0,32.1
4,Drew Brees,NO,QB,396,4,1,0,0,0,0,0,0,29.84
5,Michael Crabtree,SF,WR,0,0,0,0,0,8,172,2,0,29.2
6,Aaron Rodgers,GB,QB,365,4,0,0,0,0,0,0,1,28.6
7,Eli Manning,NYG,QB,208,5,0,0,0,0,0,0,0,28.32
8,Russell Wilson,SEA,QB,250,1,0,58,1,0,0,0,0,25.8
9,Peyton Manning,DEN,QB,304,3,0,0,0,0,0,0,0,24.16
10,Greg Jennings,GB,WR,0,0,0,0,0,8,120,2,0,24
11,Christian Ponder,MIN,QB,234,3,0,16,0,0,0,0,0,22.96
12,Terrelle Pryor,OAK,QB,150,2,1,49,1,0,0,0,0,22.9
13,Mike Tolbert,CAR,FB,0,0,0,25,3,1,22,0,0,22.7
14,Doug Martin,TB,RB,0,0,0,142,1,4,18,0,0,22
15,Ahmad Bradshaw,NYG,RB,0,0,0,107,1,1,41,0,0,20.8
16,Michael Floyd,ARI,WR,0,0,0,0,0,8,166,1,1,20.6
17,Eric Decker,DEN,WR,0,0,0,0,0,7,76,2,0,19.6
18,Colin Kaepernick,SF,QB,276,2,0,5,0,0,0,0,0,19.54
19,Stevan Ridley,NE,RB,0,0,0,74,2,0,0,0,0,19.4
20,Tom Brady,NE,QB,284,2,0,0,0,0,0,0,0,19.36
21,Matt Forte,CHI,RB,0,0,0,103,1,2,21,0,0,18.4
22,Demaryius Thomas,DEN,WR,0,0,0,0,0,7,122,1,0,18.2
23,Arian Foster,HOU,RB,0,0,0,96,1,2,23,0,0,17.9
24,Rueben Randle,NYG,WR,0,0,0,0,0,4,58,2,0,17.8
25,Matthew Stafford,DET,QB,272,3,1,9,0,0,0,0,2,17.78
26,Jimmy Graham,NO,TE,0,0,0,0,0,9,115,1,0,17.5
27,Marques Colston,NO,WR,0,0,0,0,0,5,52,2,0,17.2
28,Jay Cutler,CHI,QB,257,1,0,29,0,0,0,0,0,17.18
29,Ben Roethlisberger,PIT,QB,134,3,0,-2,0,0,0,0,0,17.16
30,CJ Spiller,BUF,RB,0,0,0,59,0,2,72,1,1,17.1
31,TY Hilton,IND,WR,0,0,0,0,0,4,111,1,0,17.1
32,Earl Bennett,CHI,WR,0,0,0,0,0,5,109,1,0,16.9
33,Wes Welker,NE,WR,0,0,0,11,0,8,94,1,0,16.5
34,Tyrod Taylor,BAL,QB,149,0,1,65,1,0,0,0,0,16.46
35,Robert Griffin III,WAS,QB,100,0,0,63,1,0,0,0,0,16.3
36,Andrew Luck,IND,QB,191,2,0,1,0,0,0,0,0,15.74
37,Chad Henne,JAX,QB,298,2,3,13,0,0,0,0,0,15.22
38,Justin Blackmon,JAX,WR,0,0,0,11,0,6,79,1,0,15
39,David Wilson,NYG,RB,0,0,0,75,0,1,15,1,0,15
40,Jarius Wright,MIN,WR,0,0,0,0,0,3,90,1,0,15
41,Frank Gore,SF,RB,0,0,0,68,1,3,21,0,0,14.9
42,Jordy Nelson,GB,WR,0,0,0,0,0,3,87,1,0,14.7
43,Vick Ballard,IND,RB,0,0,0,78,1,2,9,0,0,14.7
44,Matt Ryan,ATL,QB,238,1,0,11,0,0,0,0,0,14.62
45,Andre Johnson,HOU,WR,0,0,0,0,0,12,141,0,0,14.1
46,Darren Sproles,NO,RB,0,0,0,1,0,8,79,1,0,14
47,Philip Rivers,SD,QB,151,2,0,-3,0,0,0,0,0,13.74
48,Ryan Fitzpatrick,BUF,QB,225,1,0,0,0,0,0,0,0,13
49,Tony Romo,DAL,QB,218,2,3,0,0,0,0,0,0,12.72
50,Sam Bradford,STL,QB,252,1,1,6,0,0,0,0,0,12.68
51,Lance Ball,DEN,RB,0,0,0,66,1,0,0,0,0,12.6
52,Chris Johnson,TEN,RB,0,0,0,56,1,1,9,0,0,12.5
53,Mike Williams,TB,WR,0,0,0,0,0,6,65,1,0,12.5
54,Michael Vick,PHI,QB,197,1,1,25,0,0,0,0,0,12.38
55,James Jones,GB,WR,0,0,0,0,0,6,62,1,0,12.2
56,Lance Moore,NO,WR,0,0,0,0,0,4,121,0,0,12.1
57,Jason Witten,DAL,TE,0,0,0,0,0,7,56,1,0,11.6
58,Brian Hoyer,ARI,QB,225,1,1,6,0,0,0,0,0,11.6
59,Keith Toston,JAX,RB,0,0,0,74,0,3,41,0,0,11.5
60,Knowshon Moreno,DEN,RB,0,0,0,44,1,1,10,0,0,11.4
61,Marshawn Lynch,SEA,RB,0,0,0,100,0,2,14,0,0,11.4
62,Cam Newton,CAR,QB,248,0,1,34,0,0,0,0,0,11.32
63,Victor Cruz,NYG,WR,0,0,0,0,0,4,52,1,0,11.2
64,Steve Johnson,BUF,WR,0,0,0,0,0,6,111,0,0,11.1
65,Jordan Shipley,JAX,WR,0,0,0,0,0,7,51,1,0,11.1
66,Josh Freeman,TB,QB,222,1,1,1,0,0,0,0,0,10.98
67,Anthony Allen,BAL,RB,0,0,0,41,1,1,7,0,0,10.8
68,Brad Smith,BUF,WR,0,0,0,20,1,2,26,0,0,10.6
69,LeSean McCoy,PHI,RB,0,0,0,45,0,5,61,0,0,10.6
70,Golden Tate,SEA,WR,0,0,0,0,0,3,105,0,0,10.5
71,Marvin Jones,CIN,WR,0,0,0,0,0,5,45,1,0,10.5
72,Thaddeus Lewis,CLE,QB,204,1,1,3,0,0,0,0,0,10.46
73,Marcedes Lewis,JAX,TE,0,0,0,0,0,7,103,0,0,10.3
74,Rob Gronkowski,NE,TE,0,0,0,0,0,2,42,1,0,10.2
75,Greg Little,CLE,WR,0,0,0,0,0,3,38,1,0,9.8
76,Steven Jackson,STL,RB,0,0,0,52,0,7,45,0,0,9.7
77,Michael Jenkins,MIN,WR,0,0,0,0,0,3,37,1,0,9.7
78,Danny Woodhead,NE,RB,0,0,0,18,0,5,79,0,0,9.7
79,Danario Alexander,SD,WR,0,0,0,0,0,1,34,1,0,9.4
80,Michael Robinson,SEA,FB,0,0,0,0,0,3,33,1,0,9.3
81,Bernard Pierce,BAL,RB,0,0,0,89,0,1,4,0,0,9.3
82,Tashard Choice,BUF,RB,0,0,0,30,1,0,0,0,0,9
83,Brian Robiskie,DET,WR,0,0,0,0,0,2,30,1,0,9
84,Will Heller,DET,TE,0,0,0,0,0,2,29,1,0,8.9
85,Jeremy Kerley,NYJ,WR,0,0,0,0,0,3,88,0,0,8.8
86,DuJuan Harris,GB,RB,0,0,0,70,0,2,17,0,0,8.7
87,DeMarco Murray,DAL,RB,0,0,0,76,0,2,10,0,0,8.6
88,Kevin Ogletree,DAL,WR,0,0,0,0,0,2,25,1,0,8.5
89,Kris Durham,DET,WR,0,0,0,0,0,1,25,1,0,8.5
90,Plaxico Burress,PIT,WR,0,0,0,0,0,2,24,1,0,8.4
91,Austin Pettis,STL,WR,0,0,0,0,0,3,24,1,0,8.4
92,Jeremy Maclin,PHI,WR,0,0,0,0,0,4,22,1,0,8.2
93,Harry Douglas,ATL,WR,0,0,0,0,0,4,21,1,0,8.1
94,Michael Turner,ATL,RB,0,0,0,18,1,0,0,0,0,7.8
95,Jacquizz Rodgers,ATL,RB,0,0,0,28,0,8,50,0,0,7.8
96,Shonn Greene,NYJ,RB,0,0,0,74,0,2,3,0,0,7.7
97,Mikel Leshoure,DET,RB,0,0,0,57,0,3,20,0,0,7.7
98,Rod Streater,OAK,WR,0,0,0,0,0,4,77,0,0,7.7
99,Antonio Brown,PIT,WR,0,0,0,-6,0,2,22,1,0,7.6
100,Alshon Jeffery,CHI,WR,0,0,0,0,0,4,76,0,0,7.6
101,Andy Dalton,CIN,QB,78,1,0,4,0,0,0,0,0,7.52
102,Antonio Gates,SD,TE,0,0,0,0,0,2,15,1,0,7.5
103,Steve Smith,CAR,WR,0,0,0,0,0,3,73,0,0,7.3
104,Darrius Heyward-Bey,OAK,WR,0,0,0,0,0,2,13,1,0,7.3
105,Jermichael Finley,GB,TE,0,0,0,0,0,8,72,0,0,7.2
106,Calvin Johnson,DET,WR,0,0,0,0,0,5,72,0,0,7.2
107,Dez Bryant,DAL,WR,0,0,0,0,0,4,71,0,0,7.1
108,Matt Schaub,HOU,QB,275,0,2,-1,0,0,0,0,0,6.9
109,Brian Hartline,MIA,WR,0,0,0,0,0,5,69,0,0,6.9
110,Jackie Battle,SD,RB,0,0,0,37,0,4,31,0,0,6.8
111,Bilal Powell,NYJ,RB,0,0,0,56,0,2,12,0,0,6.8
112,Jamaal Charles,KC,RB,0,0,0,53,0,1,14,0,0,6.7
113,Brandon LaFell,CAR,WR,0,0,0,4,0,5,62,0,0,6.6
114,Denarius Moore,OAK,WR,0,0,0,0,0,1,5,1,0,6.5
