Rk,ID,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
1,2593,Aaron Rodgers,GB,QB,480,4,0,-3,0,0,0,0,0,34.9
2,9447,Michael Vick,PHI,QB,428,2,0,34,1,0,-2,0,0,34.32
3,12386,Marshawn Lynch,SEA,RB,0,0,0,98,2,3,37,1,0,31.5
4,8244,Philip Rivers,SD,QB,419,3,0,11,0,0,0,0,0,29.86
5,7389,Eddie Royal,SD,WR,0,0,0,0,0,7,90,3,0,27
6,11527,Sam Bradford,STL,QB,352,3,1,25,0,0,0,0,0,26.58
7,3943,DeSean Jackson,PHI,WR,0,0,0,0,0,9,193,1,0,25.3
8,13291,Julio Jones,ATL,WR,0,0,0,0,0,11,182,1,0,24.2
9,11488,Jimmy Graham,NO,TE,0,0,0,0,0,10,179,1,0,23.9
10,6029,Calvin Johnson,DET,WR,0,0,0,0,0,6,116,2,0,23.6
11,732,Matt Ryan,ATL,QB,374,2,0,0,0,0,0,0,0,22.96
12,14257,Robert Griffin III,WAS,QB,320,3,1,1,0,0,0,0,0,22.9
13,12506,James Starks,GB,RB,0,0,0,132,1,4,36,0,0,22.8
14,8699,Knowshon Moreno,DEN,RB,0,0,0,93,2,3,14,0,0,22.7
15,6739,Alex Smith,KC,QB,223,2,0,57,0,0,0,0,0,22.62
16,6767,Pierre Garcon,WAS,WR,0,0,0,0,0,8,143,1,0,20.3
17,11270,Dez Bryant,DAL,WR,0,0,0,0,0,9,141,1,0,20.1
18,7328,Peyton Manning,DEN,QB,307,2,0,-3,0,0,0,0,0,19.98
19,4633,Matt Schaub,HOU,QB,298,3,2,0,0,0,0,0,0,19.92
20,1181,Martellus Bennett,CHI,TE,0,0,0,0,0,7,76,2,0,19.6
21,13227,Randall Cobb,GB,WR,0,0,0,0,0,9,128,1,0,18.8
22,14008,Andrew Luck,IND,QB,321,1,1,38,0,0,0,0,0,18.64
23,4556,Jordy Nelson,GB,WR,0,0,0,0,0,3,66,2,0,18.6
24,8972,Jay Cutler,CHI,QB,290,3,2,9,0,0,0,0,1,18.5
25,14916,Giovani Bernard,CIN,RB,0,0,0,38,1,1,27,1,0,18.5
26,14986,DeAndre Hopkins,HOU,WR,0,0,0,0,0,7,117,1,0,17.7
27,8529,Mike Wallace,MIA,WR,0,0,0,0,0,9,115,1,0,17.5
28,15215,Tavon Austin,STL,WR,0,0,0,8,0,6,47,2,0,17.5
29,11667,Brandon Marshall,CHI,WR,0,0,0,0,0,7,113,1,0,17.3
30,9038,Matthew Stafford,DET,QB,278,2,0,1,0,0,0,0,1,17.22
31,2950,Steve Johnson,BUF,WR,0,0,0,0,0,8,111,1,0,17.1
32,12751,Charles Clay,MIA,TE,0,0,0,1,1,5,109,0,0,17
33,11932,LeSean McCoy,PHI,RB,0,0,0,53,0,5,114,0,0,16.7
34,13320,Cam Newton,CAR,QB,229,2,1,15,0,0,0,0,0,16.66
35,11792,Arian Foster,HOU,RB,0,0,0,79,1,1,6,0,0,16.5
36,7969,Jamaal Charles,KC,RB,0,0,0,55,0,8,48,1,0,16.3
37,12841,Andy Dalton,CIN,QB,280,1,0,10,0,0,0,0,0,16.2
38,6302,James Jones,GB,WR,0,0,0,0,0,11,178,0,1,15.8
39,3931,Rashard Mendenhall,ARI,RB,0,0,0,66,1,2,28,0,0,15.4
40,14868,EJ Manuel,BUF,QB,296,1,1,13,0,0,0,0,1,15.14
41,12925,Jake Locker,TEN,QB,148,2,0,10,0,0,0,0,0,14.92
42,13799,Ryan Tannehill,MIA,QB,319,1,0,1,0,0,0,0,1,14.86
43,2405,Chad Henne,JAX,QB,241,1,0,9,0,0,0,0,0,14.54
44,1658,Greg Olsen,CAR,TE,0,0,0,0,0,7,84,1,0,14.4
45,2220,Ahmad Bradshaw,IND,RB,0,0,0,65,1,3,19,0,0,14.4
46,14385,Doug Martin,TB,RB,0,0,0,144,0,0,0,0,0,14.4
47,3867,Tony Romo,DAL,QB,298,1,0,3,0,0,0,0,1,14.22
48,2699,Matt Forte,CHI,RB,0,0,0,90,0,11,71,0,1,14.1
49,13391,Austin Pettis,STL,WR,0,0,0,0,0,8,78,1,0,13.8
50,8066,Darren McFadden,OAK,RB,0,0,0,129,0,4,28,0,1,13.7
51,13791,Lamar Miller,MIA,RB,0,0,0,69,1,2,6,0,0,13.5
52,611,Joe Flacco,BAL,QB,211,1,0,6,0,0,0,0,0,13.04
53,12800,Bilal Powell,NYJ,RB,0,0,0,48,1,2,22,0,0,13
54,10949,CJ Spiller,BUF,RB,0,0,0,103,0,4,26,0,0,12.9
55,13997,Coby Fleener,IND,TE,0,0,0,0,0,4,69,1,0,12.9
56,7242,Drew Brees,NO,QB,322,1,2,0,0,0,0,0,0,12.88
57,13270,Christian Ponder,MIN,QB,227,1,1,18,0,0,0,0,0,12.88
58,3807,Ben Roethlisberger,PIT,QB,251,1,1,6,0,0,0,0,0,12.64
59,3671,Jermichael Finley,GB,TE,0,0,0,0,0,6,65,1,0,12.5
60,14005,TY Hilton,IND,WR,0,0,0,0,0,6,124,0,0,12.4
61,12109,Ted Ginn,CAR,WR,0,0,0,0,0,3,62,1,0,12.2
62,15224,Andre Ellington,ARI,RB,0,0,0,20,0,2,42,1,0,12.2
63,5412,Jason Snelling,ATL,RB,0,0,0,19,1,4,41,0,0,12
64,14269,Alfred Morris,WAS,RB,0,0,0,107,0,2,13,0,0,12
65,12246,Victor Cruz,NYG,WR,0,0,0,0,0,8,118,0,0,11.8
66,2428,Carson Palmer,ARI,QB,248,1,1,-2,0,0,0,0,0,11.72
67,7203,Dwayne Bowe,KC,WR,0,0,0,0,0,4,56,1,0,11.6
68,14886,Aaron Dobson,NE,WR,0,0,0,0,0,3,56,1,0,11.6
