Rk,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
1,Doug Martin,TB,RB,0,0,0,251,4,4,21,0,0,51.2
2,Adrian Peterson,MIN,RB,0,0,0,182,2,3,11,0,0,31.3
3,Brandon Marshall,CHI,WR,0,0,0,0,0,9,122,3,0,30.2
4,Carson Palmer,OAK,QB,414,4,3,3,0,0,0,0,0,28.86
5,Aaron Rodgers,GB,QB,218,4,1,33,0,0,0,0,0,26.02
6,Andrew Luck,IND,QB,433,2,0,5,0,0,0,0,0,25.82
7,Mikel Leshoure,DET,RB,0,0,0,70,3,0,0,0,0,25
8,Eric Decker,DEN,WR,0,0,0,0,0,8,99,2,0,21.9
9,Cam Newton,CAR,QB,201,1,0,37,1,0,0,0,0,21.74
10,Russell Wilson,SEA,QB,173,3,0,27,0,0,0,0,0,21.62
11,Isaac Redman,PIT,RB,0,0,0,147,1,2,4,0,0,21.1
12,Marshawn Lynch,SEA,RB,0,0,0,124,1,2,26,0,0,21
13,Matt Forte,CHI,RB,0,0,0,103,1,2,45,0,0,20.8
14,Jay Cutler,CHI,QB,229,3,0,12,0,0,0,0,1,20.36
15,Peyton Manning,DEN,QB,291,3,2,-2,0,0,0,0,0,19.44
16,Matt Schaub,HOU,QB,268,2,0,-1,0,0,0,0,0,18.62
17,Randall Cobb,GB,WR,0,0,0,29,0,3,37,2,0,18.6
18,Michael Vick,PHI,QB,272,1,1,53,0,0,0,0,0,18.18
19,Josh Freeman,TB,QB,247,2,0,22,0,0,0,0,1,18.08
20,Brandon Myers,OAK,TE,0,0,0,0,0,8,59,2,0,17.9
21,Chris Johnson,TEN,RB,0,0,0,141,1,4,10,0,2,17.1
22,Arian Foster,HOU,RB,0,0,0,111,1,0,0,0,0,17.1
23,Golden Tate,SEA,WR,0,0,0,21,0,4,28,2,0,16.9
24,Joique Bell,DET,RB,0,0,0,73,1,3,36,0,0,16.9
25,Tony Romo,DAL,QB,321,1,0,0,0,0,0,0,0,16.84
26,AJ Green,CIN,WR,0,0,0,6,0,7,99,1,0,16.5
27,Ray Rice,BAL,RB,0,0,0,98,1,2,6,0,0,16.4
28,TY Hilton,IND,WR,0,0,0,1,0,6,102,1,0,16.3
29,Michael Turner,ATL,RB,0,0,0,102,1,0,0,0,0,16.2
30,DeSean Jackson,PHI,WR,0,0,0,0,0,3,100,1,0,16
31,Kevin Ogletree,DAL,WR,0,0,0,0,0,3,96,1,0,15.6
32,Andy Dalton,CIN,QB,299,1,1,16,0,0,0,0,0,15.56
33,Marcel Reece,OAK,FB,0,0,0,0,0,8,95,1,0,15.5
34,Ryan Tannehill,MIA,QB,290,1,0,-1,0,0,0,0,0,15.5
35,Drew Brees,NO,QB,239,2,0,-1,0,0,0,0,1,15.46
36,Blaine Gabbert,JAX,QB,220,2,2,4,0,0,0,0,0,15.2
37,Philip Rivers,SD,QB,220,2,1,-2,0,0,0,0,0,14.6
38,Matt Ryan,ATL,QB,342,0,0,8,0,0,0,0,0,14.48
39,Vincent Jackson,TB,WR,0,0,0,0,0,2,84,1,0,14.4
40,John Skelton,ARI,QB,306,1,1,0,0,0,0,0,0,14.24
41,Robert Griffin III,WAS,QB,215,0,0,53,0,0,0,0,0,13.9
42,Matt Hasselbeck,TEN,QB,200,1,1,18,0,0,0,0,0,13.8
43,Reggie Wayne,IND,WR,0,0,0,0,0,7,78,1,0,13.8
44,Julio Jones,ATL,WR,0,0,0,8,0,5,129,0,0,13.7
45,Trent Richardson,CLE,RB,0,0,0,105,0,6,31,0,0,13.6
46,Larry Fitzgerald,ARI,WR,0,0,0,0,0,6,74,1,0,13.4
47,LeSean McCoy,PHI,RB,0,0,0,119,0,2,14,0,0,13.3
48,Jimmy Graham,NO,TE,0,0,0,0,0,8,72,1,0,13.2
49,Tom Crabtree,GB,TE,0,0,0,0,0,1,72,1,0,13.2
50,Calvin Johnson,DET,WR,0,0,0,0,0,7,129,0,0,12.9
51,Mike Williams,TB,WR,0,0,0,0,0,4,68,1,0,12.8
52,Reggie Bush,MIA,RB,0,0,0,41,1,2,25,0,0,12.6
53,Mike Wallace,PIT,WR,0,0,0,0,0,3,66,1,0,12.6
54,Ben Roethlisberger,PIT,QB,216,2,1,-1,0,0,0,0,1,12.54
55,Sidney Rice,SEA,WR,25,0,0,0,0,4,54,1,0,12.4
56,Joe Flacco,BAL,QB,153,1,0,1,0,0,0,0,0,12.22
57,Owen Daniels,HOU,TE,0,0,0,0,0,4,62,1,0,12.2
58,James Jones,GB,WR,0,0,0,0,0,4,61,1,0,12.1
59,LaRod Stephens-Howling,ARI,RB,0,0,0,51,1,2,8,0,0,11.9
60,Roddy White,ATL,WR,0,0,0,0,0,7,118,0,0,11.8
61,Andre Johnson,HOU,WR,0,0,0,0,0,8,118,0,0,11.8
62,Rod Streater,OAK,WR,0,0,0,0,0,4,54,1,0,11.4
63,BenJarvus Green-Ellis,CIN,RB,0,0,0,56,1,2,-3,0,0,11.3
64,Matthew Stafford,DET,QB,285,0,0,-2,0,0,0,0,0,11.2
65,Chris Ivory,NO,RB,0,0,0,48,1,1,2,0,0,11
66,Felix Jones,DAL,RB,0,0,0,39,0,5,70,0,0,10.9
67,Donnie Avery,IND,WR,0,0,0,0,0,5,108,0,0,10.8
68,Malcom Floyd,SD,WR,0,0,0,0,0,4,48,1,0,10.8
69,Jermaine Gresham,CIN,TE,0,0,0,0,0,6,108,0,0,10.8
70,Brian Hartline,MIA,WR,0,0,0,0,0,8,107,0,0,10.7
71,Marques Colston,NO,WR,0,0,0,0,0,4,46,1,0,10.6
72,Torrey Smith,BAL,WR,0,0,0,0,0,4,46,1,0,10.6
73,Antonio Gates,SD,TE,0,0,0,0,0,3,43,1,0,10.3
74,CJ Spiller,BUF,RB,0,0,0,39,0,5,63,0,0,10.2
75,Steve Smith,CAR,WR,0,0,0,0,0,3,41,1,0,10.1
76,Joel Dreessen,DEN,TE,0,0,0,0,0,4,38,1,0,9.8
77,Vick Ballard,IND,RB,0,0,0,60,0,3,38,0,0,9.8
78,DeAngelo Williams,CAR,RB,0,0,0,37,1,0,0,0,0,9.7
79,Evan Royster,WAS,RB,0,0,0,6,1,3,30,0,0,9.6
80,Nate Washington,TEN,WR,0,0,0,0,0,2,35,1,0,9.5
81,Micheal Spurlock,JAX,WR,0,0,0,0,0,5,35,1,0,9.5
82,Justin Blackmon,JAX,WR,0,0,0,0,0,5,32,1,0,9.2
83,Charles Clay,MIA,TE,0,0,0,0,0,1,31,1,0,9.1
84,Ryan Fitzpatrick,BUF,QB,239,0,0,14,0,0,0,0,1,8.96
85,Shaun Draughn,KC,RB,0,0,0,6,1,2,21,0,0,8.7
86,Andre Roberts,ARI,WR,0,0,0,0,0,4,86,0,0,8.6
87,Bernard Pierce,BAL,RB,0,0,0,26,1,0,0,0,0,8.6
88,Armanti Edwards,CAR,WR,0,0,0,0,0,1,82,0,0,8.2
89,Emmanuel Sanders,PIT,WR,0,0,0,0,0,2,20,1,0,8
90,Andre Brown,NYG,RB,0,0,0,20,1,0,0,0,0,8
91,Michael Floyd,ARI,WR,0,0,0,0,0,5,80,0,0,8
92,Alex Green,GB,RB,0,0,0,53,0,2,25,0,0,7.8
93,Demaryius Thomas,DEN,WR,0,0,0,0,0,6,77,0,0,7.7
94,Anquan Boldin,BAL,WR,0,0,0,0,0,5,57,0,0,7.7
95,Miles Austin,DAL,WR,0,0,0,0,0,7,76,0,0,7.6
96,Alfred Morris,WAS,RB,0,0,0,76,0,0,0,0,0,7.6
97,Dwayne Allen,IND,TE,0,0,0,0,0,6,75,0,0,7.5
98,Darrius Heyward-Bey,OAK,WR,0,0,0,0,0,5,74,0,0,7.4
99,Ronnie Brown,SD,RB,0,0,0,38,0,5,35,0,0,7.3
100,Rashad Jennings,JAX,RB,0,0,0,45,0,3,7,0,0,7.2
101,Ryan Mathews,SD,RB,0,0,0,67,0,2,5,0,0,7.2
102,Garrett Graham,HOU,TE,0,0,0,0,0,2,11,1,0,7.1
103,Pierre Thomas,NO,RB,0,0,0,44,0,2,26,0,0,7
104,Willis McGahee,DEN,RB,0,0,0,66,0,1,4,0,0,7
105,Matt Cassel,KC,QB,181,0,1,37,0,0,0,0,1,6.94
106,Davone Bess,MIA,WR,0,0,0,0,0,6,67,0,0,6.7
107,Kenny Britt,TEN,WR,0,0,0,0,0,5,67,0,1,6.7
108,Victor Cruz,NYG,WR,0,0,0,0,0,5,67,0,0,6.7
109,Mark Ingram,NO,RB,0,0,0,44,0,2,23,0,0,6.7
110,Jamaal Charles,KC,RB,0,0,0,39,0,3,27,0,0,6.6
111,Denarius Moore,OAK,WR,0,0,0,0,0,4,66,0,0,6.6
112,Donald Jones,BUF,WR,0,0,0,0,0,6,65,0,0,6.5
113,Daniel Thomas,MIA,RB,0,0,0,37,0,2,25,0,0,6.2
114,Lance Moore,NO,WR,0,0,0,0,0,2,61,0,0,6.1
115,Danario Alexander,SD,WR,0,0,0,0,0,3,61,0,0,6.1
116,James Starks,GB,RB,0,0,0,61,0,0,0,0,0,6.1
117,Dwayne Bowe,KC,WR,0,0,0,0,0,8,79,0,1,5.9
118,Logan Paulsen,WAS,TE,0,0,0,0,0,5,59,0,0,5.9
119,Jonathan Stewart,CAR,RB,0,0,0,51,0,1,6,0,0,5.7
120,Jason Avant,PHI,WR,0,0,0,0,0,6,56,0,0,5.6
121,Cecil Shorts,JAX,WR,0,0,0,0,0,3,56,0,0,5.6
122,Josh Morgan,WAS,WR,0,0,0,9,0,6,46,0,0,5.5
