Rk,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
1,Matt Schaub,HOU,QB,527,5,2,0,0,0,0,0,0,37.08
2,Andre Johnson,HOU,WR,0,0,0,0,0,14,273,1,0,33.3
3,Robert Griffin III,WAS,QB,200,4,0,84,0,0,0,0,0,32.4
4,Chad Henne,JAX,QB,354,4,0,7,0,0,0,0,0,30.86
5,Justin Blackmon,JAX,WR,0,0,0,0,0,7,236,1,0,29.6
6,Rob Gronkowski,NE,TE,0,0,0,0,0,7,137,2,0,25.7
7,Tom Brady,NE,QB,331,3,0,0,0,0,0,0,0,25.24
8,Andy Dalton,CIN,QB,230,2,0,13,1,0,0,0,0,24.5
9,Josh Freeman,TB,QB,248,3,2,27,0,0,0,0,0,22.62
10,TY Hilton,IND,WR,0,0,0,0,0,6,100,2,0,22
11,Danario Alexander,SD,WR,0,0,0,0,0,7,96,2,0,21.6
12,Peyton Manning,DEN,QB,270,3,1,0,0,0,0,0,0,20.8
13,Drew Brees,NO,QB,219,3,0,0,0,0,0,0,0,20.76
14,Dez Bryant,DAL,WR,0,0,0,0,0,12,145,1,0,20.5
15,Garrett Graham,HOU,TE,0,0,0,0,0,8,82,2,0,20.2
16,Marcel Reece,OAK,RB,0,0,0,103,0,4,90,0,0,19.3
17,LaRod Stephens-Howling,ARI,RB,0,0,0,127,1,2,6,0,0,19.3
18,Colin Kaepernick,SF,QB,243,2,0,10,0,0,0,0,0,18.72
19,Calvin Johnson,DET,WR,0,0,0,0,0,5,143,1,1,18.3
20,Cam Newton,CAR,QB,252,1,0,40,0,0,0,0,0,18.08
21,Bilal Powell,NYJ,RB,0,0,0,42,2,2,18,0,0,18
22,Vincent Jackson,TB,WR,0,0,0,0,0,6,94,1,0,17.4
23,Lance Moore,NO,WR,0,0,0,0,0,2,53,2,0,17.3
24,BenJarvus Green-Ellis,CIN,RB,0,0,0,101,1,1,7,0,0,16.8
25,Benjamin Watson,CLE,TE,0,0,0,0,0,4,47,2,0,16.7
26,Carson Palmer,OAK,QB,312,2,2,2,0,0,0,0,0,16.68
27,Julian Edelman,NE,WR,0,0,0,47,0,5,58,1,0,16.5
28,Marcedes Lewis,JAX,TE,0,0,0,0,0,3,40,2,0,16
29,Aaron Rodgers,GB,QB,236,2,1,3,0,0,0,0,0,15.74
30,Tony Romo,DAL,QB,313,1,0,10,0,0,0,0,1,15.52
31,Brandon LaFell,CAR,WR,0,0,0,0,0,5,93,1,0,15.3
32,Randall Cobb,GB,WR,0,0,0,19,0,9,74,1,0,15.3
33,AJ Green,CIN,WR,0,0,0,0,0,6,91,1,0,15.1
34,Byron Leftwich,PIT,QB,199,0,1,31,1,0,0,0,0,15.06
35,Trent Richardson,CLE,RB,0,0,0,95,0,6,49,0,0,14.4
36,Brandon Weeden,CLE,QB,210,2,0,0,0,0,0,0,1,14.4
37,Vernon Davis,SF,TE,0,0,0,0,0,6,83,1,0,14.3
38,Mikel Leshoure,DET,RB,0,0,0,84,1,1,-2,0,0,14.2
39,Cecil Shorts,JAX,WR,0,0,0,0,0,3,81,1,0,14.1
40,Doug Martin,TB,RB,0,0,0,138,0,4,23,0,1,14.1
41,Andrew Luck,IND,QB,334,2,3,4,0,0,0,0,1,13.76
42,Jonathan Stewart,CAR,RB,0,0,0,43,1,1,30,0,0,13.3
43,CJ Spiller,BUF,RB,0,0,0,91,0,3,39,0,0,13
