Rk,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
1,Aaron Rodgers,GB,QB,338,6,0,17,0,0,0,0,0,39.22
2,Robert Griffin III,WAS,QB,182,1,1,138,2,0,0,0,0,35.08
3,Shonn Greene,NYJ,RB,0,0,0,161,3,0,0,0,0,34.1
4,Jordy Nelson,GB,WR,0,0,0,0,0,9,121,3,0,30.1
5,AJ Green,CIN,WR,0,0,0,0,0,7,135,2,0,25.5
6,Sam Bradford,STL,QB,315,0,0,34,1,0,0,0,0,24
7,Josh Freeman,TB,QB,328,3,1,5,0,0,0,0,0,23.62
8,Russell Wilson,SEA,QB,293,3,0,17,0,0,0,0,1,23.42
9,Ray Rice,BAL,RB,0,0,0,63,2,1,43,0,0,22.6
10,Michael Vick,PHI,QB,311,2,2,59,0,0,0,0,0,22.34
11,Peyton Manning,DEN,QB,309,3,1,-3,0,0,0,0,0,22.06
12,Dez Bryant,DAL,WR,0,0,0,0,0,13,95,2,0,21.5
13,Matthew Stafford,DET,QB,311,1,1,7,1,0,0,0,0,21.14
14,Antonio Gates,SD,TE,0,0,0,0,0,6,81,2,0,20.1
15,Tom Brady,NE,QB,395,2,2,0,0,0,0,0,0,19.8
16,Wes Welker,NE,WR,0,0,0,0,0,10,138,1,0,19.8
17,Andy Dalton,CIN,QB,381,3,3,5,0,0,0,0,1,19.74
18,Christian Ponder,MIN,QB,352,2,2,13,0,0,0,0,1,19.38
19,Jeremy Maclin,PHI,WR,0,0,0,0,0,6,130,1,0,19
20,Vincent Jackson,TB,WR,0,0,0,0,0,4,66,2,0,18.6
21,Ahmad Bradshaw,NYG,RB,0,0,0,116,1,1,4,0,0,18
22,Ben Roethlisberger,PIT,QB,363,1,1,14,0,0,0,0,0,17.92
23,Mike Williams,TB,WR,0,0,0,0,0,4,113,1,0,17.3
24,CJ Spiller,BUF,RB,0,0,0,88,1,4,22,0,0,17
25,Ryan Tannehill,MIA,QB,185,2,0,16,0,0,0,0,0,17
26,Felix Jones,DAL,RB,0,0,0,92,1,1,13,0,0,16.5
27,Tony Romo,DAL,QB,261,2,1,0,0,0,0,0,0,16.44
28,Denarius Moore,OAK,WR,0,0,0,0,0,5,104,1,0,16.4
29,Arian Foster,HOU,RB,0,0,0,29,2,1,12,0,0,16.1
30,Josh Gordon,CLE,WR,0,0,0,0,0,3,99,1,0,15.9
31,Eric Decker,DEN,WR,0,0,0,0,0,6,98,1,0,15.8
32,Brandon Weeden,CLE,QB,231,2,1,3,0,0,0,0,0,15.54
33,Mike Wallace,PIT,WR,0,0,0,0,0,2,94,1,0,15.4
34,Larry Fitzgerald,ARI,WR,0,0,0,0,0,6,93,1,0,15.3
35,James Jones,GB,WR,0,0,0,0,0,3,33,2,0,15.3
36,Carson Palmer,OAK,QB,353,1,1,0,0,0,0,0,1,14.12
37,Sidney Rice,SEA,WR,0,0,0,0,0,3,81,1,0,14.1
38,Matt Hasselbeck,TEN,QB,290,1,1,2,0,0,0,0,0,13.8
39,Darren McFadden,OAK,RB,0,0,0,70,1,3,28,0,1,13.8
40,Kevin Kolb,ARI,QB,128,1,1,66,0,0,0,0,0,13.72
41,Kyle Rudolph,MIN,TE,0,0,0,0,0,6,56,1,0,13.6
42,Joe Flacco,BAL,QB,234,1,0,2,0,0,0,0,0,13.56
43,Calvin Johnson,DET,WR,0,0,0,0,0,6,135,0,0,13.5
44,Percy Harvin,MIN,WR,0,0,0,1,0,11,133,0,0,13.4
45,Doug Baldwin,SEA,WR,0,0,0,0,0,2,74,1,0,13.4
46,Roddy White,ATL,WR,0,0,0,0,0,6,72,1,0,13.2
47,Doug Martin,TB,RB,0,0,0,76,0,2,55,0,0,13.1
48,Adrian Peterson,MIN,RB,0,0,0,79,0,7,50,0,0,12.9
49,Jermaine Gresham,CIN,TE,0,0,0,0,0,3,68,1,0,12.8
50,Michael Jenkins,MIN,WR,0,0,0,0,0,6,67,1,0,12.7
51,Montario Hardesty,CLE,RB,0,0,0,56,1,1,9,0,0,12.5
52,Fred Jackson,BUF,RB,0,0,0,53,1,5,30,0,1,12.3
53,Kenny Britt,TEN,WR,0,0,0,0,0,4,62,1,0,12.2
54,Tom Crabtree,GB,TE,0,0,0,0,0,2,62,1,0,12.2
55,Isaac Redman,PIT,RB,0,0,0,14,0,4,105,0,0,11.9
56,Victor Cruz,NYG,WR,0,0,0,0,0,6,58,1,0,11.8
57,LeGarrette Blount,TB,RB,0,0,0,58,1,0,0,0,0,11.8
58,Alfred Morris,WAS,RB,0,0,0,47,1,1,9,0,0,11.6
59,Eli Manning,NYG,QB,193,1,0,-2,0,0,0,0,0,11.52
60,Chris Johnson,TEN,RB,0,0,0,91,0,4,23,0,0,11.4
61,Mark Sanchez,NYJ,QB,82,2,0,-1,0,0,0,0,0,11.18
62,LeSean McCoy,PHI,RB,0,0,0,22,0,7,26,1,0,10.8
63,Brandon Stokley,DEN,WR,0,0,0,0,0,4,48,1,0,10.8
64,Marlon Moore,MIA,WR,0,0,0,0,0,3,46,1,0,10.6
65,Nate Burleson,DET,WR,0,0,0,22,0,4,24,1,0,10.6
66,Randall Cobb,GB,WR,0,0,0,0,0,7,102,0,0,10.2
67,Steven Jackson,STL,RB,0,0,0,52,0,3,28,0,0,10
68,Daryl Richardson,STL,RB,0,0,0,76,0,2,23,0,0,9.9
69,Willis McGahee,DEN,RB,0,0,0,56,0,4,42,0,0,9.8
70,Anquan Boldin,BAL,WR,0,0,0,0,0,5,98,0,0,9.8
71,Demaryius Thomas,DEN,WR,0,0,0,0,0,2,37,1,0,9.7
72,DeMarco Murray,DAL,RB,0,0,0,93,0,1,4,0,0,9.7
73,Mike Goodson,OAK,RB,0,0,0,59,0,1,37,0,0,9.6
74,Matt Ryan,ATL,QB,249,1,3,15,0,0,0,0,0,9.46
75,Mikel Leshoure,DET,RB,0,0,0,70,0,3,24,0,0,9.4
76,Anthony Fasano,MIA,TE,0,0,0,0,0,4,33,1,0,9.3
77,Ryan Mathews,SD,RB,0,0,0,74,0,4,19,0,0,9.3
78,Brandon Gibson,STL,WR,0,0,0,0,0,7,91,0,0,9.1
79,Aaron Hernandez,NE,TE,0,0,0,0,0,6,30,1,0,9
80,Jason Witten,DAL,TE,0,0,0,0,0,6,88,0,0,8.8
81,Derek Hagan,OAK,WR,0,0,0,0,0,4,85,0,0,8.5
82,Baron Batch,PIT,RB,0,0,0,22,1,1,3,0,0,8.5
83,Chris Givens,STL,WR,0,0,0,0,0,3,85,0,0,8.5
84,Torrey Smith,BAL,WR,0,0,0,0,0,2,24,1,0,8.4
85,Cedric Peerman,CIN,RB,0,0,0,7,0,8,76,0,0,8.3
86,Stephen Hill,NYJ,WR,0,0,0,0,0,3,23,1,0,8.3
