Rk,ID,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
1,5282,Josh McCown,CHI,QB,348,4,0,16,1,0,0,0,0,39.52
2,11932,LeSean McCoy,PHI,RB,0,0,0,217,2,1,4,0,0,34.1
3,14008,Andrew Luck,IND,QB,326,4,0,32,0,0,0,0,0,32.24
4,7328,Peyton Manning,DEN,QB,397,4,0,-1,0,0,0,0,0,31.78
5,11859,Jason Campbell,CLE,QB,391,3,0,27,0,0,0,0,0,30.34
6,12841,Andy Dalton,CIN,QB,275,3,0,11,1,0,0,0,0,30.1
7,7242,Drew Brees,NO,QB,313,4,0,3,0,0,0,0,0,28.82
8,7969,Jamaal Charles,KC,RB,0,0,0,150,1,2,8,1,0,27.8
9,3807,Ben Roethlisberger,PIT,QB,349,3,0,8,0,0,5,0,1,25.26
10,5094,Marques Colston,NO,WR,0,0,0,0,0,9,125,2,0,24.5
11,14587,Josh Gordon,CLE,WR,0,0,0,34,0,7,151,1,0,24.5
12,13799,Ryan Tannehill,MIA,QB,200,3,1,56,0,0,0,0,0,23.6
13,2699,Matt Forte,CHI,RB,0,0,0,102,0,7,73,1,0,23.5
14,4314,Tom Brady,NE,QB,418,2,1,1,0,0,0,0,1,22.82
15,15470,Da'Rick Rogers,IND,WR,0,0,0,0,0,6,107,2,0,22.7
16,12780,Shane Vereen,NE,RB,0,0,0,9,1,12,153,0,0,22.2
17,3382,Marcel Reece,OAK,RB,0,0,0,123,1,2,38,0,0,22.1
18,14895,Geno Smith,NYJ,QB,219,1,1,50,1,0,0,0,0,21.76
19,12751,Charles Clay,MIA,TE,0,0,0,0,0,7,97,2,0,21.7
20,15150,Cordarrelle Patterson,MIN,WR,0,0,0,6,0,5,141,1,0,20.7
21,611,Joe Flacco,BAL,QB,245,3,3,22,0,0,0,0,0,20
22,8244,Philip Rivers,SD,QB,249,3,0,0,0,0,0,0,1,19.96
23,11056,Antonio Brown,PIT,WR,0,0,0,0,0,5,138,1,0,19.8
24,11256,Ryan Mathews,SD,RB,0,0,0,103,1,3,32,0,0,19.5
25,13723,Nick Foles,PHI,QB,179,1,1,23,1,0,0,0,0,19.46
26,8723,Matt Cassel,MIN,QB,265,2,0,6,0,0,0,0,0,19.2
27,14111,Rod Streater,OAK,WR,0,0,0,0,0,7,130,1,0,19
28,13852,Bobby Rainey,TB,RB,0,0,0,127,1,3,-4,0,0,18.3
29,12861,Jordan Cameron,CLE,TE,0,0,0,0,0,9,121,1,0,18.1
30,15076,Keenan Allen,SD,WR,0,0,0,0,0,3,59,2,0,17.9
31,11488,Jimmy Graham,NO,TE,0,0,0,0,0,6,58,2,0,17.8
32,15746,Matt McGloin,OAK,QB,245,2,1,20,0,0,0,0,0,17.8
33,11182,Eric Decker,DEN,WR,0,0,0,0,0,8,117,1,0,17.7
34,14978,Justin Hunter,TEN,WR,0,0,0,0,0,4,114,1,0,17.4
35,13992,LaVon Brazill,IND,WR,0,0,0,0,0,3,53,2,0,17.3
36,8699,Knowshon Moreno,DEN,RB,0,0,0,78,1,6,31,0,0,16.9
37,12762,Daniel Thomas,MIA,RB,0,0,0,105,1,1,4,0,0,16.9
38,462,BenJarvus Green-Ellis,CIN,RB,0,0,0,48,2,0,0,0,0,16.8
39,12323,Joique Bell,DET,RB,0,0,0,69,1,4,58,0,2,16.7
40,8399,Shonn Greene,TEN,RB,0,0,0,46,2,0,0,0,0,16.6
41,3867,Tony Romo,DAL,QB,104,3,0,-1,0,0,0,0,0,16.06
42,2405,Chad Henne,JAX,QB,117,2,0,33,0,0,0,0,0,15.98
43,5571,Larry Fitzgerald,ARI,WR,0,0,0,0,0,12,96,1,0,15.6
44,13124,DeMarco Murray,DAL,RB,0,0,0,146,0,2,9,0,0,15.5
45,2429,Andre Johnson,HOU,WR,0,0,0,0,0,13,154,0,0,15.4
46,12317,Danny Woodhead,SD,RB,0,0,0,42,0,4,52,1,0,15.4
47,13320,Cam Newton,CAR,QB,160,1,0,48,0,0,0,0,0,15.2
48,15479,Marlon Brown,BAL,WR,0,0,0,0,0,7,92,1,0,15.2
49,15138,Eddie Lacy,GB,RB,0,0,0,65,1,3,25,0,0,15
50,11197,Demaryius Thomas,DEN,WR,0,0,0,0,0,7,88,1,0,14.8
51,14916,Giovani Bernard,CIN,RB,0,0,0,99,0,4,49,0,0,14.8
52,15036,Montee Ball,DEN,RB,0,0,0,77,1,3,10,0,0,14.7
53,2428,Carson Palmer,ARI,QB,269,1,0,-1,0,0,0,0,0,14.66
54,8355,Julian Edelman,NE,WR,0,0,0,0,0,6,64,1,0,14.4
