Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Miami Dolphins,5,5,5,3,1,1,1,0,20,22
2,Kansas City Chiefs,2,0,0,2,1,0,2,0,13,22
3,Carolina Panthers,2,1,3,3,1,0,1,0,10,19
4,Dallas Cowboys,3,2,2,1,1,0,1,0,23,12
5,Cleveland Browns,9,5,8,1,1,0,0,0,18,10
6,New England Patriots,5,5,7,2,1,0,0,0,31,10
7,Chicago Bears,5,5,4,1,0,0,0,0,20,8
8,Philadelphia Eagles,4,3,3,2,0,0,0,0,20,8
9,St. Louis Rams,7,4,10,2,0,0,0,0,28,7
10,San Diego Chargers,2,0,0,1,0,0,1,0,30,7
11,New York Jets,4,2,6,2,0,0,0,0,20,7
12,Tennessee Titans,1,2,1,0,2,0,0,0,21,6
13,Tampa Bay Buccaneers,1,0,6,2,1,0,0,0,27,6
14,Cincinnati Bengals,5,3,5,0,1,0,0,0,22,5
15,Washington Redskins,0,1,4,2,0,0,0,0,24,5
16,Minnesota Vikings,7,3,3,1,0,0,0,0,27,5
17,Atlanta Falcons,1,1,4,2,0,0,0,0,34,4
18,Baltimore Ravens,4,2,6,0,1,0,0,0,24,4
19,Houston Texans,6,4,11,0,0,0,0,0,27,4
20,Seattle Seahawks,2,3,6,0,0,0,0,0,24,3
21,Buffalo Bills,4,2,2,0,0,0,0,0,23,2
22,New Orleans Saints,1,2,4,0,0,0,0,0,26,2
23,Green Bay Packers,3,1,5,0,0,0,0,0,27,1
24,Pittsburgh Steelers,4,3,6,0,1,0,0,0,55,1
25,Indianapolis Colts,4,1,6,0,0,0,0,0,24,1
26,Oakland Raiders,7,2,2,0,0,0,0,0,49,-2
