Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Carolina Panthers,12,9,14,1,0,0,1,0,20,18
2,New York Giants,4,3,5,2,2,0,0,0,6,18
3,Seattle Seahawks,5,2,6,2,0,0,1,0,9,16
4,Cincinnati Bengals,2,2,7,3,0,0,1,0,17,15
5,Tennessee Titans,4,1,2,2,2,0,0,0,10,13
6,Pittsburgh Steelers,5,3,3,1,1,0,0,0,7,11
7,Indianapolis Colts,3,3,8,1,1,0,0,0,10,11
8,New York Jets,4,0,3,3,0,0,0,0,7,10
9,Minnesota Vikings,7,5,6,0,0,0,0,0,13,9
10,Washington Redskins,10,1,3,2,1,0,0,0,20,8
11,Detroit Lions,2,3,4,1,1,0,0,0,14,8
12,Baltimore Ravens,2,0,0,4,0,0,0,0,34,7
13,Dallas Cowboys,7,5,7,0,1,0,0,0,24,7
14,Chicago Bears,2,3,3,2,0,0,0,0,33,6
15,Cleveland Browns,1,1,1,2,0,0,0,0,20,6
16,San Francisco 49ers,2,1,4,1,1,0,0,0,20,6
17,Philadelphia Eagles,2,0,2,2,1,0,0,0,22,6
18,Atlanta Falcons,3,1,1,1,1,0,0,0,21,5
19,New Orleans Saints,5,2,5,1,0,0,0,0,17,5
20,New England Patriots,6,4,6,0,0,0,0,0,20,5
21,Kansas City Chiefs,3,3,6,1,0,0,0,0,27,5
22,Denver Broncos,6,2,2,0,1,0,0,0,14,5
23,St. Louis Rams,7,4,8,0,0,0,0,0,27,4
24,Houston Texans,7,1,7,1,0,0,0,0,16,4
25,Green Bay Packers,2,1,1,1,1,0,0,0,28,4
26,Arizona Cardinals,5,2,3,0,0,0,0,0,23,2
27,Buffalo Bills,4,1,2,1,0,0,0,0,34,2
28,San Diego Chargers,12,2,6,0,0,0,0,0,24,2
29,Oakland Raiders,6,3,3,0,0,0,0,0,34,2
30,Miami Dolphins,2,0,2,0,0,0,0,0,20,1
31,Jacksonville Jaguars,2,1,4,0,0,0,0,0,30,0
32,Tampa Bay Buccaneers,7,1,3,0,0,0,0,0,42,-3
