Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Kansas City Chiefs,7,6,4,1,1,0,0,2,10,26
2,Tampa Bay Buccaneers,9,7,13,4,1,0,0,0,6,24
3,Arizona Cardinals,7,4,7,2,0,1,1,0,10,20
4,Atlanta Falcons,4,5,5,1,1,0,1,0,22,15
5,Detroit Lions,6,0,0,1,0,0,0,2,34,13
6,Pittsburgh Steelers,5,3,3,1,0,0,1,0,34,10
7,New York Jets,5,2,4,1,0,0,0,1,27,10
8,San Diego Chargers,3,2,5,2,1,0,0,0,14,9
9,New Orleans Saints,7,5,7,0,0,0,0,0,13,9
10,Baltimore Ravens,3,0,2,0,1,0,0,1,26,8
11,Cleveland Browns,4,4,6,1,1,0,0,0,27,8
12,Jacksonville Jaguars,5,3,8,2,0,0,0,0,20,8
13,Philadelphia Eagles,3,0,0,0,3,0,0,0,20,7
14,Minnesota Vikings,5,2,5,3,0,0,0,0,29,7
15,Buffalo Bills,8,1,1,2,0,0,0,0,27,5
16,San Francisco 49ers,1,2,1,1,0,0,0,0,17,5
17,Seattle Seahawks,6,2,3,1,0,0,0,0,19,5
18,Green Bay Packers,3,1,1,1,1,0,0,0,21,5
19,Denver Broncos,5,2,4,1,1,0,0,0,28,5
20,Miami Dolphins,3,3,2,0,1,0,0,0,28,4
21,St. Louis Rams,5,1,2,0,1,0,0,0,30,2
22,Carolina Panthers,3,2,6,0,0,0,0,0,31,1
23,Chicago Bears,2,2,2,0,0,0,0,0,28,1
24,New England Patriots,3,1,5,0,0,0,0,0,26,1
25,Houston Texans,4,1,4,0,0,0,0,0,27,1
26,New York Giants,2,2,4,0,1,0,0,0,37,0
27,Cincinnati Bengals,0,0,4,0,0,0,0,0,28,-1
28,Oakland Raiders,4,1,6,1,0,0,0,0,37,-1
29,Washington Redskins,5,0,1,1,0,0,0,0,45,-2
30,Dallas Cowboys,3,1,3,0,0,0,0,0,45,-3
31,Tennessee Titans,2,0,1,0,0,0,0,0,51,-4
32,Indianapolis Colts,1,0,0,0,0,0,0,0,42,-4
