Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,St. Louis Rams,6,5,7,2,2,0,2,0,13,29
2,Kansas City Chiefs,9,10,14,3,0,0,1,0,7,26
3,Dallas Cowboys,4,3,5,1,1,0,0,1,16,14
4,Pittsburgh Steelers,5,3,6,2,0,0,0,0,6,14
5,Chicago Bears,4,1,1,3,0,0,1,0,21,13
6,Tennessee Titans,4,2,4,0,2,0,1,0,20,13
7,San Francisco 49ers,1,1,5,2,2,1,0,0,20,12
8,Carolina Panthers,5,3,6,2,0,0,0,0,10,11
9,Seattle Seahawks,5,2,6,2,0,0,0,0,13,10
10,Baltimore Ravens,6,3,3,1,1,0,0,0,19,8
11,Green Bay Packers,10,5,3,0,1,0,0,0,17,8
12,Jacksonville Jaguars,3,0,1,1,2,0,1,0,35,8
13,Cincinnati Bengals,8,5,11,0,1,0,0,0,24,7
14,Denver Broncos,8,2,4,2,0,0,0,0,19,7
15,Detroit Lions,1,2,6,2,0,0,0,0,17,7
16,San Diego Chargers,1,1,4,1,0,0,0,0,9,7
17,New Orleans Saints,7,5,7,1,0,0,0,0,30,6
18,Arizona Cardinals,5,2,4,1,1,0,0,0,32,5
19,Buffalo Bills,8,3,5,1,0,0,0,0,27,5
20,New England Patriots,3,1,3,1,1,0,0,0,27,5
21,New York Jets,6,4,8,0,0,0,0,0,19,5
22,Oakland Raiders,4,3,9,0,1,0,0,0,24,5
23,Philadelphia Eagles,3,2,3,1,0,0,0,0,20,5
24,Indianapolis Colts,6,2,4,0,0,0,0,0,19,3
25,Cleveland Browns,2,1,2,1,0,0,0,0,31,2
26,Washington Redskins,3,1,4,1,0,0,0,0,31,2
27,Tampa Bay Buccaneers,4,1,6,0,1,0,0,0,31,2
28,New York Giants,2,0,2,0,0,0,0,0,27,0
29,Minnesota Vikings,5,1,2,0,0,0,0,0,35,-3
30,Houston Texans,2,0,3,0,0,0,0,0,38,-4
