Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Chicago Bears,5,3,4,2,3,0,2,0,23,25
2,Carolina Panthers,8,7,10,2,1,0,0,0,0,23
3,Kansas City Chiefs,5,6,7,2,3,0,1,0,16,23
4,Baltimore Ravens,9,3,7,1,0,0,1,1,9,21
5,Green Bay Packers,5,4,4,1,3,0,1,0,34,17
6,Cincinnati Bengals,5,4,8,2,2,0,1,0,30,17
7,New Orleans Saints,5,4,9,2,0,0,0,0,7,12
8,New England Patriots,1,3,8,1,0,0,0,0,3,12
9,Dallas Cowboys,7,6,8,0,1,0,0,0,7,12
10,Cleveland Browns,5,6,8,1,2,0,0,0,27,12
11,Indianapolis Colts,4,3,3,1,1,0,0,0,7,11
12,Seattle Seahawks,7,3,8,2,1,0,0,0,17,10
13,Minnesota Vikings,8,3,7,3,1,0,0,0,31,10
14,Atlanta Falcons,3,5,6,1,1,0,0,0,27,9
15,Washington Redskins,5,1,10,1,0,0,1,0,27,9
16,New York Jets,12,8,16,0,0,0,0,0,20,9
17,Detroit Lions,2,2,8,1,1,0,0,0,20,7
18,Arizona Cardinals,7,4,5,1,0,0,0,0,31,5
19,Tennessee Titans,3,2,2,0,1,0,0,0,17,5
20,Tampa Bay Buccaneers,4,3,6,1,0,0,0,0,23,5
21,Philadelphia Eagles,7,5,6,0,0,0,0,0,26,5
22,Buffalo Bills,2,0,2,2,0,0,0,0,27,4
23,Miami Dolphins,2,0,5,1,1,0,0,0,23,4
24,San Diego Chargers,4,2,2,0,0,0,0,0,20,3
25,Denver Broncos,4,3,6,0,0,0,0,0,21,3
26,St. Louis Rams,3,1,1,0,1,0,0,0,31,2
27,Jacksonville Jaguars,4,2,6,1,1,0,0,0,45,2
28,San Francisco 49ers,3,1,7,0,0,0,0,0,27,1
29,Oakland Raiders,2,1,2,0,2,0,0,0,37,1
30,New York Giants,7,1,1,1,1,0,0,0,38,1
31,Houston Texans,6,2,2,0,0,0,0,0,30,1
32,Pittsburgh Steelers,4,2,5,0,0,0,0,0,40,-2
