Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Arizona Cardinals,8,7,11,3,1,1,0,0,6,24
2,San Francisco 49ers,5,1,4,3,1,0,1,0,3,22
3,Oakland Raiders,4,2,2,3,2,0,1,0,17,19
4,Cleveland Browns,4,4,12,1,0,0,1,1,24,18
5,Kansas City Chiefs,3,3,2,2,1,0,1,0,17,16
6,St. Louis Rams,5,2,3,2,1,0,1,0,20,15
7,Cincinnati Bengals,5,4,8,1,1,0,0,0,6,15
8,New England Patriots,4,4,6,1,1,0,0,0,13,12
9,Miami Dolphins,6,2,6,1,1,0,1,0,26,12
10,Indianapolis Colts,3,2,3,1,1,0,0,1,28,11
11,Philadelphia Eagles,4,1,3,3,1,0,0,0,21,9
12,Green Bay Packers,7,5,5,0,0,0,0,0,9,9
13,Carolina Panthers,3,2,6,3,0,0,0,0,22,8
14,Baltimore Ravens,9,6,6,0,0,0,0,0,23,6
15,Tennessee Titans,3,2,6,1,1,0,0,0,26,6
16,New Orleans Saints,4,3,6,0,1,0,0,0,18,6
17,Seattle Seahawks,1,2,5,0,1,1,0,0,34,5
18,San Diego Chargers,5,4,3,0,0,0,0,0,27,4
19,Denver Broncos,6,4,6,1,1,0,0,0,48,4
20,Atlanta Falcons,4,4,3,0,0,0,0,0,30,3
21,New York Jets,8,2,4,0,1,0,0,0,28,3
22,Chicago Bears,8,2,5,0,0,0,0,0,26,2
23,Jacksonville Jaguars,3,2,2,0,0,0,0,0,34,1
24,Detroit Lions,6,1,1,0,0,0,0,0,22,1
25,Buffalo Bills,5,5,7,0,0,0,0,0,37,1
26,Houston Texans,6,1,5,0,0,0,0,0,34,0
27,Dallas Cowboys,4,0,0,1,1,0,0,0,51,0
28,New York Giants,9,1,9,0,0,0,0,0,36,-3
