Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Pittsburgh Steelers,2,5,9,1,3,0,1,0,11,23
2,Tampa Bay Buccaneers,6,2,4,4,1,0,1,0,21,18
3,Baltimore Ravens,4,3,4,2,1,0,0,0,3,16
4,Denver Broncos,4,3,5,0,3,0,1,0,34,14
5,Arizona Cardinals,1,1,8,1,0,0,1,0,11,13
6,San Francisco 49ers,6,4,7,1,0,0,0,0,6,13
7,St. Louis Rams,5,1,5,1,2,0,1,0,21,13
8,New Orleans Saints,3,5,10,0,1,0,0,0,13,11
9,Jacksonville Jaguars,4,2,5,1,0,0,0,0,6,11
10,Dallas Cowboys,4,2,3,0,1,0,1,0,21,10
11,Green Bay Packers,13,6,7,0,1,0,0,0,26,8
12,New England Patriots,4,1,4,1,3,0,0,0,31,8
13,New York Jets,6,4,6,1,0,0,0,0,19,7
14,Houston Texans,6,3,13,0,0,0,0,0,13,7
15,Carolina Panthers,5,3,8,1,0,0,0,0,16,6
16,New York Giants,4,4,5,1,0,0,0,0,24,6
17,Tennessee Titans,2,0,0,1,1,0,0,0,19,5
18,Miami Dolphins,5,2,3,1,0,0,0,0,20,5
19,Detroit Lions,7,4,6,0,0,0,0,0,24,4
20,Washington Redskins,6,2,2,0,1,0,0,0,27,4
21,San Diego Chargers,6,3,4,1,1,0,0,0,38,3
22,Atlanta Falcons,2,1,4,0,0,0,0,0,17,2
23,Oakland Raiders,2,2,5,0,0,0,0,0,23,2
24,Minnesota Vikings,4,2,7,0,0,0,0,0,26,2
25,Cleveland Browns,3,0,2,0,0,0,0,0,27,0
26,Indianapolis Colts,6,3,6,0,0,0,0,0,40,-1
27,Chicago Bears,2,2,3,0,0,0,0,0,42,-2
28,Kansas City Chiefs,4,1,4,0,0,0,0,0,41,-3
