Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Cincinnati Bengals,6,4,7,2,0,0,2,0,9,24
2,Denver Broncos,6,3,13,4,1,0,1,0,21,19
3,Arizona Cardinals,8,4,11,4,0,0,0,0,13,16
4,New York Giants,6,4,2,2,1,0,0,0,7,14
5,New England Patriots,8,6,8,2,1,0,0,0,17,13
6,Washington Redskins,3,2,1,3,1,0,1,0,45,12
7,San Francisco 49ers,5,0,0,0,1,0,1,0,10,12
8,Seattle Seahawks,4,3,5,2,0,0,0,0,9,11
9,New Orleans Saints,8,4,9,1,2,0,0,0,17,11
10,Philadelphia Eagles,3,1,2,0,1,0,1,0,15,10
11,Oakland Raiders,11,5,5,2,0,0,0,0,18,10
12,Carolina Panthers,7,3,4,0,1,0,0,0,13,9
13,St. Louis Rams,10,7,10,0,0,0,0,0,14,8
14,Pittsburgh Steelers,8,2,3,2,1,0,0,0,21,8
15,Green Bay Packers,2,3,5,0,0,0,0,1,31,8
16,Dallas Cowboys,4,1,7,2,2,0,0,0,31,8
17,Cleveland Browns,6,6,9,0,0,0,0,0,23,6
18,Miami Dolphins,3,3,4,1,0,0,0,0,27,5
19,Atlanta Falcons,6,3,5,1,0,0,0,0,27,5
20,Minnesota Vikings,7,2,3,0,0,0,0,1,44,4
21,Kansas City Chiefs,4,1,4,0,1,0,0,0,17,4
22,Tampa Bay Buccaneers,5,3,3,0,0,0,0,0,31,2
23,Buffalo Bills,7,4,6,0,0,0,0,0,35,0
24,New York Jets,2,1,1,1,0,0,0,0,49,-1
25,Detroit Lions,5,0,4,0,0,0,0,0,30,-1
26,Jacksonville Jaguars,1,0,0,0,1,0,0,0,42,-2
