Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Seattle Seahawks,6,4,6,5,0,0,0,0,0,24
2,Kansas City Chiefs,0,0,0,5,2,0,1,0,31,19
3,Indianapolis Colts,4,4,8,2,0,1,0,0,3,17
4,Cleveland Browns,8,2,8,2,1,0,2,0,38,16
5,San Francisco 49ers,5,4,6,1,1,0,1,0,14,15
6,Atlanta Falcons,1,1,3,2,5,0,0,0,26,15
7,Arizona Cardinals,5,3,7,2,1,0,1,0,34,14
8,Carolina Panthers,6,4,8,1,0,0,1,0,20,13
9,Buffalo Bills,8,5,8,2,1,0,0,0,20,12
10,St. Louis Rams,5,4,7,2,1,0,0,0,16,11
11,Pittsburgh Steelers,3,1,4,0,1,0,0,1,20,10
12,Chicago Bears,2,0,4,2,0,0,1,0,31,9
13,Jacksonville Jaguars,4,4,5,1,1,0,0,0,27,8
14,Baltimore Ravens,3,1,5,3,0,0,0,0,16,8
15,Washington Redskins,3,3,5,1,1,0,0,0,27,7
16,New England Patriots,5,4,5,0,1,0,0,0,24,6
17,New York Giants,8,3,7,1,0,0,0,0,23,5
18,Minnesota Vikings,5,4,10,1,0,0,0,0,30,5
19,San Diego Chargers,4,1,2,1,0,0,0,0,20,4
20,Miami Dolphins,2,1,7,1,0,0,0,0,20,4
21,Houston Texans,4,1,4,1,0,0,0,0,25,3
22,Green Bay Packers,3,3,4,2,0,0,0,0,36,3
23,Detroit Lions,5,1,6,0,0,0,0,0,18,2
24,Denver Broncos,4,2,2,0,0,0,0,0,27,2
25,Cincinnati Bengals,4,1,2,1,0,0,0,0,30,2
26,Tampa Bay Buccaneers,5,2,3,0,0,0,0,0,33,1
27,Philadelphia Eagles,9,3,5,1,0,0,0,0,48,1
28,New York Jets,6,2,2,0,0,0,0,0,30,1
29,Oakland Raiders,3,2,1,0,1,0,0,0,56,0
30,New Orleans Saints,4,0,1,0,0,0,0,0,27,0
31,Dallas Cowboys,7,2,4,1,0,0,0,0,37,0
32,Tennessee Titans,5,2,5,0,0,0,0,0,37,-2
