Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Dallas Cowboys,3,3,5,3,3,0,2,0,31,26
2,Kansas City Chiefs,8,6,10,2,0,0,1,0,2,23
3,Miami Dolphins,3,6,16,3,0,0,0,0,10,16
4,Buffalo Bills,4,2,7,1,2,0,1,0,23,14
5,Tennessee Titans,8,5,6,1,1,0,0,0,9,13
6,Washington Redskins,6,3,7,0,2,0,1,0,33,12
7,Philadelphia Eagles,6,3,9,2,1,1,0,0,27,11
8,Detroit Lions,7,3,6,3,1,0,0,0,24,11
9,Tampa Bay Buccaneers,7,5,8,1,1,0,0,0,18,10
10,New York Jets,3,3,5,1,1,1,0,0,17,10
11,Arizona Cardinals,3,0,5,1,1,0,1,0,27,10
12,Seattle Seahawks,1,1,1,0,2,0,0,0,7,9
13,Houston Texans,3,2,5,1,0,0,1,0,28,9
14,St. Louis Rams,6,4,5,1,1,0,0,0,24,8
15,New Orleans Saints,4,3,6,1,1,0,0,0,17,8
16,Denver Broncos,10,4,8,2,0,0,0,0,27,8
17,Carolina Panthers,2,2,1,0,1,0,0,0,12,8
18,Chicago Bears,2,1,1,2,1,0,0,0,21,7
19,Indianapolis Colts,2,1,3,2,0,0,0,0,17,6
20,Cleveland Browns,8,4,7,1,0,0,0,0,23,6
21,San Francisco 49ers,2,2,5,1,1,0,0,0,28,5
22,Pittsburgh Steelers,4,1,3,0,0,1,0,0,16,4
23,Oakland Raiders,5,4,8,0,0,0,0,0,21,4
24,New England Patriots,3,0,4,0,2,0,0,0,21,4
25,Minnesota Vikings,3,1,4,1,1,0,0,0,34,4
26,Atlanta Falcons,7,2,3,1,0,0,0,0,23,4
27,San Diego Chargers,1,2,6,1,0,0,0,0,31,3
28,Jacksonville Jaguars,2,1,4,0,0,1,0,0,28,2
29,Cincinnati Bengals,3,0,4,1,0,0,0,0,24,2
30,Green Bay Packers,8,2,3,0,0,0,0,0,34,1
31,Baltimore Ravens,4,3,7,0,1,0,0,0,49,1
32,New York Giants,2,2,6,1,0,0,0,0,36,0
