Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,New England Patriots,5,4,7,3,1,0,2,0,7,28
2,Buffalo Bills,9,7,10,2,0,0,0,0,0,21
3,Philadelphia Eagles,7,5,5,1,1,1,1,0,11,21
4,Cincinnati Bengals,3,4,6,3,1,0,1,0,14,19
5,Indianapolis Colts,3,4,6,1,3,0,0,0,7,16
6,St. Louis Rams,8,7,7,0,2,0,0,0,13,15
7,New York Giants,3,2,6,2,1,0,1,0,20,15
8,Carolina Panthers,8,6,8,2,0,0,0,0,13,14
9,Arizona Cardinals,5,4,9,1,1,0,0,0,10,12
10,Pittsburgh Steelers,4,3,4,1,1,0,1,0,31,12
11,San Francisco 49ers,7,1,5,2,0,0,1,0,24,11
12,Seattle Seahawks,4,2,9,4,0,0,0,0,17,11
13,New York Jets,2,3,10,2,0,0,0,0,13,11
14,Denver Broncos,9,3,4,2,0,0,0,0,13,11
15,San Diego Chargers,0,1,2,1,1,0,0,0,13,9
16,Detroit Lions,5,2,5,1,1,1,0,0,23,8
17,Oakland Raiders,4,1,2,1,2,0,0,0,26,7
18,New Orleans Saints,5,4,6,1,0,0,0,0,17,7
19,Washington Redskins,3,2,2,1,1,0,0,0,24,6
20,Jacksonville Jaguars,4,3,6,1,0,0,0,0,20,6
21,Tennessee Titans,6,2,4,1,0,0,0,0,16,5
22,Tampa Bay Buccaneers,9,1,3,0,2,0,0,0,23,5
23,Miami Dolphins,4,1,3,1,0,0,0,0,19,4
24,Atlanta Falcons,5,3,4,0,0,0,0,0,34,2
25,Dallas Cowboys,3,0,3,1,0,0,0,0,23,2
26,Kansas City Chiefs,3,1,5,0,0,0,0,0,23,1
27,Green Bay Packers,2,1,3,1,1,0,0,0,38,1
28,Chicago Bears,2,2,3,0,1,0,0,0,54,0
29,Minnesota Vikings,4,2,3,0,1,0,0,0,42,0
30,Cleveland Browns,3,0,0,0,0,0,0,0,24,0
31,Baltimore Ravens,3,2,4,0,0,0,0,0,41,-2
32,Houston Texans,2,1,6,0,0,0,0,0,37,-3
