Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Tennessee Titans,5,5,11,2,2,0,1,0,13,23
2,Indianapolis Colts,5,4,9,3,0,0,1,0,3,23
3,Washington Redskins,7,7,7,1,2,0,1,0,14,20
4,Kansas City Chiefs,4,3,6,1,2,0,0,1,7,19
5,Seattle Seahawks,6,4,12,2,1,0,1,0,20,17
6,Denver Broncos,5,3,6,0,0,0,0,2,20,16
7,Detroit Lions,4,3,6,3,1,0,1,0,32,16
8,Buffalo Bills,4,4,12,5,0,0,0,0,20,15
9,Cleveland Browns,2,2,2,1,1,0,0,0,6,13
10,San Francisco 49ers,6,5,8,1,1,0,0,0,11,13
11,New Orleans Saints,6,4,10,3,1,0,0,0,17,13
12,Arizona Cardinals,11,2,8,2,1,0,0,0,10,12
13,Tampa Bay Buccaneers,4,1,3,2,1,0,0,0,13,11
14,Oakland Raiders,5,1,5,0,1,0,0,1,24,9
15,Minnesota Vikings,4,5,5,1,1,0,0,0,27,9
16,Houston Texans,5,5,10,1,1,0,0,0,23,9
17,Baltimore Ravens,5,2,5,2,1,0,0,0,23,8
18,Dallas Cowboys,3,1,1,1,0,0,1,0,30,8
19,New York Giants,2,1,3,2,1,0,0,0,31,6
20,San Diego Chargers,5,3,3,0,1,0,0,0,21,5
21,Cincinnati Bengals,5,3,6,0,0,0,0,0,17,4
22,New England Patriots,2,2,5,1,0,0,0,0,23,4
23,Chicago Bears,3,1,1,1,2,0,0,0,40,3
24,St. Louis Rams,4,2,4,0,2,0,0,0,35,2
25,Pittsburgh Steelers,1,1,0,0,0,0,0,0,34,0
26,Miami Dolphins,7,2,3,0,1,0,0,0,38,0
27,Jacksonville Jaguars,4,2,10,1,0,0,0,0,37,0
28,Atlanta Falcons,3,0,2,0,0,0,0,0,30,-1
29,New York Jets,6,2,3,0,0,0,0,0,38,-2
30,Philadelphia Eagles,3,1,2,0,0,0,0,0,52,-3
