Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Cincinnati Bengals,7,4,9,3,1,0,1,1,20,25
2,Buffalo Bills,6,4,8,3,1,0,1,0,14,19
3,Seattle Seahawks,5,2,3,3,1,0,1,0,20,17
4,New York Giants,5,0,5,3,0,0,1,0,13,16
5,Tampa Bay Buccaneers,6,3,8,2,1,0,1,0,28,14
6,Chicago Bears,9,3,2,2,0,0,1,0,20,14
7,Philadelphia Eagles,8,4,3,1,1,0,0,0,16,9
8,Pittsburgh Steelers,3,2,5,1,2,0,0,0,27,8
9,Arizona Cardinals,4,2,4,2,0,0,0,0,14,7
10,San Diego Chargers,7,4,3,1,0,0,0,0,20,7
11,Houston Texans,4,2,7,0,0,0,0,1,28,7
12,Carolina Panthers,3,2,6,1,1,0,0,0,20,7
13,Oakland Raiders,7,2,7,1,1,0,0,0,23,6
14,New Orleans Saints,5,3,6,1,0,0,0,0,20,6
15,Miami Dolphins,4,3,6,1,0,0,0,0,16,6
16,Green Bay Packers,8,4,6,1,0,0,0,0,27,6
17,Denver Broncos,4,3,5,0,1,0,0,0,17,6
18,Cleveland Browns,1,0,1,2,0,0,1,0,41,6
19,San Francisco 49ers,3,1,2,1,1,0,0,0,23,5
20,Indianapolis Colts,6,2,5,0,1,0,0,0,27,4
21,Washington Redskins,8,3,4,0,0,0,0,0,24,3
22,New England Patriots,3,3,2,0,0,0,0,0,24,3
23,Jacksonville Jaguars,8,3,7,0,0,0,0,0,27,3
24,Baltimore Ravens,4,2,3,0,0,0,0,0,23,2
25,Kansas City Chiefs,3,0,0,0,1,0,0,0,27,2
26,Tennessee Titans,2,1,4,0,0,0,0,0,30,0
27,Atlanta Falcons,4,2,2,0,0,0,0,0,41,-2
28,New York Jets,5,1,4,0,0,0,0,0,37,-3
29,Minnesota Vikings,5,1,4,0,0,0,0,0,41,-3
30,Detroit Lions,7,1,1,0,0,0,0,0,37,-3
