Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Carolina Panthers,9,4,3,1,2,0,1,0,15,17
2,Dallas Cowboys,5,3,5,3,0,0,0,0,3,16
3,San Diego Chargers,7,6,7,1,0,0,0,0,6,15
4,Buffalo Bills,4,2,3,2,1,0,1,0,21,14
5,San Francisco 49ers,4,3,5,1,1,0,1,0,17,14
6,New York Jets,5,4,3,1,0,0,1,0,27,12
7,Atlanta Falcons,4,3,5,0,1,0,1,0,23,11
8,Seattle Seahawks,9,7,13,2,0,0,0,0,22,11
9,New York Giants,5,1,13,1,2,0,0,0,7,11
10,New England Patriots,8,4,7,1,0,0,1,0,30,11
11,Indianapolis Colts,1,4,10,1,2,1,0,0,33,11
12,Minnesota Vikings,7,2,7,0,1,0,0,1,23,10
13,Green Bay Packers,4,3,8,1,0,0,0,0,13,9
14,Kansas City Chiefs,6,5,5,0,1,0,0,0,16,8
15,Philadelphia Eagles,3,2,3,2,0,0,0,0,17,7
16,Houston Texans,3,2,6,1,1,0,0,0,17,7
17,Arizona Cardinals,3,3,9,0,2,0,0,0,34,6
18,Baltimore Ravens,3,3,4,0,1,0,0,0,19,6
19,Washington Redskins,4,2,4,1,0,0,1,0,41,6
20,Miami Dolphins,9,4,6,1,0,0,0,0,23,6
21,Chicago Bears,8,1,3,1,0,0,0,1,45,5
22,St. Louis Rams,8,2,2,0,0,1,0,0,30,3
23,Pittsburgh Steelers,3,1,2,0,0,0,0,0,16,2
24,Tennessee Titans,4,2,2,0,0,0,0,0,31,1
25,Tampa Bay Buccaneers,6,0,2,0,1,0,0,0,31,1
26,Jacksonville Jaguars,2,1,3,0,0,0,0,0,24,1
27,Detroit Lions,5,1,3,0,0,0,0,0,27,1
28,Denver Broncos,8,2,8,0,1,0,0,0,39,0
29,Cleveland Browns,2,1,5,0,0,0,0,0,31,0
30,Cincinnati Bengals,3,0,7,0,0,0,0,0,24,0
