Rk,Team,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,St. Louis Rams,4,3,7,4,1,0,1,1,8,29
2,Jacksonville Jaguars,2,1,2,1,3,1,1,0,27,17
3,New York Giants,5,4,4,1,1,0,0,1,20,15
4,Oakland Raiders,7,3,5,1,2,0,1,0,24,15
5,Carolina Panthers,9,6,7,1,1,0,0,0,9,14
6,Baltimore Ravens,9,5,9,3,0,0,0,0,17,12
7,Cincinnati Bengals,5,5,6,2,1,0,0,0,20,12
8,San Francisco 49ers,8,4,6,1,1,0,0,0,10,12
9,Arizona Cardinals,5,3,10,0,1,0,1,0,24,11
10,Philadelphia Eagles,4,1,1,2,0,0,0,0,13,9
11,Pittsburgh Steelers,5,3,3,1,0,0,0,0,10,9
12,Seattle Seahawks,3,2,4,0,1,0,0,0,10,8
13,Houston Texans,1,1,8,1,2,0,0,0,27,7
14,Tampa Bay Buccaneers,9,2,8,1,0,1,0,0,19,7
15,Buffalo Bills,9,4,3,1,0,0,0,0,23,6
16,Tennessee Titans,7,3,6,2,0,0,0,0,29,6
17,Denver Broncos,7,4,5,0,0,0,0,0,20,5
18,Detroit Lions,5,2,11,1,0,0,0,0,19,5
19,Green Bay Packers,6,3,2,0,1,0,0,0,27,5
20,Miami Dolphins,7,2,3,1,0,0,0,0,22,4
21,Minnesota Vikings,3,4,8,0,0,0,0,0,27,4
22,New Orleans Saints,6,3,4,0,0,0,0,0,17,4
23,San Diego Chargers,2,2,4,0,1,0,0,0,28,3
24,Chicago Bears,3,0,0,1,0,0,0,0,21,2
25,Washington Redskins,5,1,3,1,0,0,0,0,34,2
26,Atlanta Falcons,5,1,3,0,0,0,0,0,33,0
27,Indianapolis Colts,6,2,2,0,1,0,0,0,38,0
28,Dallas Cowboys,4,1,3,0,1,0,0,0,49,-1
